Aketi,19
Ango,21
Bili (Bas-Uele),11
Bondo,14
Buta,18
Ganga,21
Likati,12
Monga,11
Poko,21
Titule,12
Viadana,14
Aba,53
Boma Mangbetu,80
Doruma,25
Dungu,98
Faradje,50
Gombari,21
Isiro,101
Niangara,72
Pawa,92
Rungu,33
Wamba,87
Makoro,71
Watsa,70
Basankusu,29
Bikoro,28
Bolenge,11
Bolomba,33
Bomongo,16
Djombo,16
Iboko,19
Ingende,21
Irebu,8
Lilanga Bobangi,16
Lotumbe,21
Lukolela,20
Makanza,22
Mampoko,20
Mbandaka,21
Monieka,13
Ntondo,14
Wangata,16
Kambove,68
Kapolowe,98
Kikula,82
Kilela Balanda,49
Likasi,75
Mitwaba,72
Mufunga Sampwe,106
Panda,41
Kafubu,121
Kamalondo,25
Kampemba,313
Kasenga,50
Kashobwe,33
Katuba,78
Kenya,134
Kilwa,106
Kipushi,152
Kisanga,150
Kowe,12
Lubumbashi,254
Lukafu,56
Mumbunda,159
Pweto,72
Ruashi,244
Sakania,187
Tshamilemba,127
Vangu,25
Bukama,55
Butumba,37
Kabondo Dianda,71
Kinkondja,43
Lwamba,34
Malemba Nkulu,63
Mukanga,49
Mulongo,39
Baka,5
Kabongo,68
Kamina,61
Kaniama,74
Kayamba,33
Kinda,22
Kitenge,45
Songa,51
Adi,67
Adja,50
Angumu,61
Ariwara,77
Aru,47
Aungba,58
Biringi,66
Kambala,41
Laybo,62
Logo,65
Mahagi,73
Nyarambe,104
Rimba,52
Bambu,51
Boga,31
Bunia,160
Damas,44
Drodro,60
Fataki,36
Gety,69
Jiba,49
Kilo,37
Komanda,145
Linga,49
Lita,27
Lolwa,65
Mambasa,76
Mandima,140
Mangala,26
Mongbwalu,90
Nia Nia,97
Nizi,59
Nyankunde,49
Rethy,63
Rwampara,52
Tchomia,36
Bulape,67
Dekese,97
Ilebo,71
Kakenge,63
Luebo,103
Mikope,131
Mushenge,111
Mweka,73
Ndjoko Mpunda,91
Banga Lubaka,88
Kalonda Ouest,147
Kamonia,141
Kamwesha,191
Kanzala,115
Kitangwa,115
Mutena,110
Nyanga,48
Tshikapa,115
Bena Leka,67
Bena Tshadi,38
Bilomba,52
Bobozo,15
Bunkonde,44
Demba,75
Dibaya,65
Kananga,136
Katende,47
Katoka,46
Lubondaie,63
Lubunga (Kasaï-Central),38
Lukonga,47
Mikalayi,88
Muetshi,50
Mutoto,42
Ndekesha,76
Ndesha,38
Tshikaji,58
Tshikula,60
Kalomba,60
Luambo,82
Luiza,81
Masuika,94
Tshibala,62
Yangala,90
Bibanga,68
Bipemba,81
Bonzola,67
Cilundu,102
Citenge,64
Dibindi,70
Diulu,54
Kabeya Kamwanga,113
Kansele,41
Kasansa,83
Lubilanji,67
Lukelenge,71
Miabi,48
Mpokolo,38
Mukumbi,79
Muya,46
Nzaba,73
Tshilenge,70
Tshishimbi,80
Bumbu,153
Kalamu 1,88
Kalamu 2,67
Kasa Vubu,57
Kingabwa,150
Kisenso,240
Lemba,168
Limete,171
Makala,150
Matete,94
Ngaba,120
Ngiri Ngiri,79
Biyela,158
Kikimi,137
Kimbanseke,215
Kingasani,141
Maluku 1,118
Maluku 2,62
Masina 1,230
Masina 2,185
Ndjili,181
Nsele,404
Bandalungwa,71
Barumbu,115
Binza Meteo,70
Binza Ozone,234
