Ituri,19-05-2026,"Une réunion de coordination a eu lieu avec les sections. La participation a eu lieu à des réunions stratégiques aux niveaux du gouvernorat, du centre et de la province. Les activités prioritaires dotées d'un budget ont été partagées au niveau central. Des équipes d'intervention ont été constituées et redynamisées. Une prospection d'un site pour l'installation d'ETC a été réalisée."
Ituri,20-05-2026,"Une réunion de coordination a été présidée par le Directeur Adjoint des Incidents, chef de la Division Provinciale de la Santé du Nord Kivu (Beni) et de l'Ituri (Bunia). Une réunion de mobilisation des partenaires a eu lieu sur l'alignement avec le plan de réponse. Le plan d'action provincial face à l'incident de la MVE a été élaboré pour les divisions provinciales de santé de l'Ituri et du Nord-Kivu."
North-Kivu,20-05-2026,"Une réunion de coordination a été présidée par le Directeur Adjoint des Incidents, chef de la Division Provinciale de la Santé du Nord Kivu (Beni) et de l'Ituri (Bunia). Une réunion de mobilisation des partenaires a eu lieu sur l'alignement avec le plan de réponse. Le plan d'action provincial face à l'incident de la MVE a été élaboré pour les divisions provinciales de santé de l'Ituri et du Nord-Kivu."
Ituri,21-05-2026,Le gestionnaire adjoint des incidents et les chefs des divisions provinciales de santé du Nord-Kivu et de l'Ituri ont présidé une réunion de coordination. Une réunion des partenaires a aligné le plan d'intervention et un plan d'action provincial contre la MVE a été élaboré pour les deux divisions. Une autre réunion a recentré l’organisation du pilier Surveillance.
North-Kivu,21-05-2026,Le Directeur Adjoint des Incidents et les chefs de division santé du Nord Kivu/Ituri ont présidé une réunion de coordination. Une réunion des partenaires a aligné le plan d'intervention et un plan d'action provincial contre la MVE a été élaboré pour les deux divisions. Une réunion du pilier surveillance a recentré son organisation.
Ituri,22-05-2026,"Une réunion de coordination a été présidée par le Directeur Adjoint des Incidents, chef de la Division Provinciale de la Santé du Nord Kivu (Beni) et de l'Ituri (Bunia). Une réunion de mobilisation des partenaires a eu lieu sur l'alignement avec le plan de réponse. Le plan d'action provincial face à l'incident de la MVE a été élaboré pour les divisions provinciales de santé de l'Ituri et du Nord-Kivu."
North Kivu,22-05-2026,"Une réunion de coordination a été présidée par le Directeur Adjoint des Incidents, chef de la Division Provinciale de la Santé du Nord Kivu (Beni) et de l'Ituri (Bunia). Une réunion de mobilisation des partenaires a eu lieu sur l'alignement avec le plan de réponse. Le plan d'action provincial face à l'incident de la MVE a été élaboré pour les divisions provinciales de santé de l'Ituri et du Nord-Kivu."
North-Kivu,05-06-2026,Une réunion sur le système de gestion des incidents (SGI) s'est tenue à la Division provinciale de la santé (DPS) pour examiner l'évolution de l'épidémie et les priorités opérationnelles.
Ituri,06-06-2026,"Au total, 134 alertes ont été émises, 111 ont fait l'objet d'une enquête (82,8 %, le taux le plus bas) et 86 ont été validées. Pour la recherche des contacts, 4 118 contacts ont été suivis, dont 1 779 ont été vus (43,2 %). Des enquêtes approfondies ont été menées autour des cas confirmés dans les zones de santé touchées. Au total, 210 contacts ont terminé leur suivi de 21 jours et ont obtenu leur congé."
North-Kivu,06-06-2026,"Au total, 208 alertes ont été émises, toutes ont fait l'objet d'une enquête (100 %) et 30 ont été validées. Pour la recherche des contacts, 699 contacts ont été suivis, dont 577 ont été vus (82,5 %)."
South-Kivu,06-06-2026,"Au total, 3 alertes ont été émises, toutes les 3 ont fait l'objet d'une enquête (100 %) et 1 a été validée. Pour la recherche des contacts, 223 contacts ont été suivis, dont 179 ont été vus (80,3 %)."
Ituri,08-06-2026,"Le directeur général de l’INSP et les chefs religieux de Bunia ont dialogué sur les défis et l’adhésion à la MVE. Le soutien s'est poursuivi pour les provinces touchées sous la direction du gestionnaire des incidents et de l'IMS à Bunia. Une visite sur le terrain à Mongbwalu HZ a impliqué des partenaires (OCHA, PNUD, PAM, UNICEF, OMS). Fin de la formation de 23 chefs de zone de santé (approche zonale) et animateurs communautaires (surveillance)."
Ituri,15-06-2026,Le directeur général de l'INSP a visité le centre de traitement Elikya pour évaluer les activités de prise en charge des cas. Réunion de coordination organisée pour le suivi des activités de terrain avec les partenaires techniques et financiers. Deux sessions organisées sur l'augmentation de la capacité de l'ETC et la dynamique de la logistique de réponse.
Ituri,18-06-2026,"Arrivée de 3 ministres nationaux (Santé publique, Affaires humanitaires, Communication) pour évaluer les actions de réponse en Ituri, un mois après la déclaration officielle. Réunion de coordination tenue avec les partenaires techniques et financiers. Séance de travail tenue avec le nouveau gouverneur militaire de l'Ituri."
Ituri,19-06-2026,Réunion de coordination présidée par le Ministre de la Santé et de la Protection Sociale en présence du Gouverneur de Province. Réunion technique avec les partenaires techniques et financiers. Cérémonie de sortie d'un patient rétabli à Rwampara ETC. Mise à disposition de 6 ambulances pour renforcer la référence des patients vers les ETC.
Ituri,13-07-2026,Réunions de coordination et de supervision tenues. Feuille de route sur 3 mois pour le Haut-Uélé élaborée. Visite de travail du Ministre à Kisangani pour plaidoyer sur les ambulances.
North-Kivu,13-07-2026,Réunion technique avec toutes les provinces touchées. La coordination se poursuit pour l'extension.
Haut-Uele,13-07-2026,Mission conjointe DPS/OMS/UNICEF sur le site de traitement d'Isiro (HGR Isiro). Feuille de route sur 3 mois élaborée.
Sud-Kivu,13-07-2026,Réunion technique tenue sur l'extension de l'épidémie. Surveillance résiduelle maintenue.
Tshopo,13-07-2026,Réunion technique tenue. Visite de travail du Ministre à Kisangani.
