Ituri,17-05-2026,A preparatory meeting was held for a logistics needs assessment for all pillars.
Ituri,19-05-2026,"Vehicle fleet identification included 4 ambulances (at HGR Bunia, HGR Mongbwalu, PNC, and UMIR). Programmes and coordinations had 3 vehicles (CPLT, MTN, PEV). WHO provided 5 vehicles for the surveillance pillar. UNICEF provided 6 rented vehicles, including 1 for SBC."
North-Kivu,20-05-2026,A logistics needs assessment was developed for multiple health zones. Starlink kits for internet connection were acquired from UNICEF. Five vehicles donated by WHO were received. Two hundred litres of diesel were received through MEMISA-Belgium support.
Ituri,22-05-2026,Inputs and protective equipment were delivered to the laboratory and IPC pillars for four category 1 facilities. Inputs and protective equipment were also delivered to one health zone for safe and dignified burials. Unpacking of inputs and equipment received on 21 May 2026 took place. Monitoring of installation works for care tents and ETC installation was conducted.
Ituri,06-06-2026,"Monitoring of ETC construction works was conducted at HGR Bunia (finishing works under way), CME Bunia, and HGR Rwampara. Monitoring of ETC rehabilitation works was also conducted at HGR Katwa."
North-Kivu,06-06-2026,"Laboratory materials were delivered to INRB/Beni, including 24 thermo-flash for the PNHF and 4 thermo-flash for HGR Katwa. Preparation of the supply needs assessment for the pillars in Katwa HZ was conducted. Monitoring of zone-vehicle maintenance and movement of the 4 vehicles provided by IOM took place."
Ituri,07-06-2026,"ETC construction works were monitored at HGR Bunia (finishing ongoing), CME Bunia, and HGR Rwampara. IPC inputs were delivered to CS Bigo, CME Bunia (crèche), DPS, and the CHEM-CHEM orphanage. Medicines were delivered in Bunia HZ. ETC rehabilitation works were monitored at HGR Katwa. Continued support was provided to the regular needs of all pillars."
Ituri,08-06-2026,"A supply of inputs was provided to 31 health facilities or health zones, and medicines (critical items) were provided to 5 health zones. A total of 135 motorcycles ensured the mobility of field teams at the level of various health zones and pillars. A total of 34 vehicles, including 2 functional ambulances, ensured the mobility of coordination and field teams in the various health zones."
Ituri,24-06-2026,23 vehicles and 4 ambulances deployed. 10 vehicle contracts renewed (UG-PDSS support). Supply of inputs for Well-being and Surveillance pillars from DPS stock. Additional IPC supplies for Kilo HZ. Medicine kits prepared for Nia-Nia HZ. 12 Tyvek packages (98 kg) delivered to Mongbwalu HZ and 22 IPC packages (202 kg) for Nizi HZ training. Infrastructure: continued construction of new ETC at HGR Bunia; 12 new tents operational at CME Bunia; 1 tent installed for Well-being pillar.
North-Kivu,24-06-2026,"UG-PDSS medicines delivered to Butembo, Kalunguta and Katwa HZs. IPC supplies delivered to Beni HZ. Deployment of pillar teams in health zones. IPC supplies delivered to PoC/PoE sub-pillar for Kasitu PoC."
Ituri,25-06-2026,"24 vehicles and 4 ambulances deployed. Electronic chips installed on 100 UNICEF-donated motorcycles and 60 central government motorcycles. Delivery of IPC supplies for SDBs; preparation of IPC supplies for CSR Sota. Continued construction works at HGR Bunia and HGR Rwampara ETCs. Operational ETCs: HGR Bunia, HGR Nyankunde, ISTM Nyankunde, HGR Aru, HGR Rwampara and CME Bunia."
