position,name,type,isnumeric,format,vallab,varlab
1,from_hz_id,str11,0,%11s,,"From health zone, ID (DHIS2)"
2,from_hz_id_cd,str10,0,%10s,,"From health zone, ID (CD)"
3,from_hz_name,str35,0,%35s,,"From health zone, name"
4,from_province_name,str15,0,%15s,,"From province, name"
5,to_hz_id,str11,0,%11s,,"To health zone, ID (DHIS2)"
6,to_hz_id_cd,str10,0,%10s,,"To health zone, ID (CD)"
7,to_hz_name,str35,0,%35s,,"To health zone, name"
8,to_province_name,str15,0,%15s,,"To province, name"
9,est_flows_2020_04,float,1,%20.0g,confidential,Estimated relocations 2020_03 to 2020_04
10,est_flows_2020_05,float,1,%20.0g,confidential,Estimated relocations 2020_04 to 2020_05
11,est_flows_2020_06,float,1,%20.0g,confidential,Estimated relocations 2020_05 to 2020_06
12,est_flows_2020_07,float,1,%20.0g,confidential,Estimated relocations 2020_06 to 2020_07
13,est_flows_2020_08,float,1,%20.0g,confidential,Estimated relocations 2020_07 to 2020_08
14,est_flows_2020_09,float,1,%20.0g,confidential,Estimated relocations 2020_08 to 2020_09
15,est_flows_2020_10,float,1,%20.0g,confidential,Estimated relocations 2020_09 to 2020_10
16,est_flows_2020_11,float,1,%20.0g,confidential,Estimated relocations 2020_10 to 2020_11
17,est_flows_2020_12,float,1,%20.0g,confidential,Estimated relocations 2020_11 to 2020_12
18,est_flows_2021_01,float,1,%20.0g,confidential,Estimated relocations 2020_12 to 2021_01
19,est_flows_2021_02,float,1,%20.0g,confidential,Estimated relocations 2021_01 to 2021_02
20,est_flows_2021_03,float,1,%20.0g,confidential,Estimated relocations 2021_02 to 2021_03
21,est_flows_2021_04,float,1,%20.0g,confidential,Estimated relocations 2021_03 to 2021_04
22,est_flows_2021_05,float,1,%20.0g,confidential,Estimated relocations 2021_04 to 2021_05
23,est_flows_2021_08,float,1,%20.0g,confidential,Estimated relocations 2021_05 to 2021_08
24,est_flows_2021_09,float,1,%20.0g,confidential,Estimated relocations 2021_08 to 2021_09
25,est_flows_2021_10,float,1,%20.0g,confidential,Estimated relocations 2021_09 to 2021_10
26,est_flows_2021_11,float,1,%20.0g,confidential,Estimated relocations 2021_10 to 2021_11
27,est_flows_2021_12,float,1,%20.0g,confidential,Estimated relocations 2021_11 to 2021_12
28,est_flows_2022_01,float,1,%20.0g,confidential,Estimated relocations 2021_12 to 2022_01
29,est_flows_2022_02,float,1,%20.0g,confidential,Estimated relocations 2022_01 to 2022_02
30,est_flows_2022_03,float,1,%20.0g,confidential,Estimated relocations 2022_02 to 2022_03
31,est_flows_2022_04,float,1,%20.0g,confidential,Estimated relocations 2022_03 to 2022_04
32,est_flows_2022_05,float,1,%20.0g,confidential,Estimated relocations 2022_04 to 2022_05
33,est_flows_2022_06,float,1,%20.0g,confidential,Estimated relocations 2022_05 to 2022_06
34,est_flows_2022_07,float,1,%20.0g,confidential,Estimated relocations 2022_06 to 2022_07
35,est_flows_2022_08,float,1,%20.0g,confidential,Estimated relocations 2022_07 to 2022_08
36,est_flows_2022_09,float,1,%20.0g,confidential,Estimated relocations 2022_08 to 2022_09
37,est_flows_2022_10,float,1,%20.0g,confidential,Estimated relocations 2022_09 to 2022_10
38,est_flows_2022_11,float,1,%20.0g,confidential,Estimated relocations 2022_10 to 2022_11
39,est_flows_2022_12,float,1,%20.0g,confidential,Estimated relocations 2022_11 to 2022_12
40,est_flows_2023_01,float,1,%20.0g,confidential,Estimated relocations 2022_12 to 2023_01
41,est_flows_2023_02,float,1,%20.0g,confidential,Estimated relocations 2023_01 to 2023_02
42,est_flows_2023_03,float,1,%20.0g,confidential,Estimated relocations 2023_02 to 2023_03
43,est_flows_2023_04,float,1,%20.0g,confidential,Estimated relocations 2023_03 to 2023_04
44,est_flows_2023_05,float,1,%20.0g,confidential,Estimated relocations 2023_04 to 2023_05
45,est_flows_2023_06,float,1,%20.0g,confidential,Estimated relocations 2023_05 to 2023_06
46,est_flows_2023_07,float,1,%20.0g,confidential,Estimated relocations 2023_06 to 2023_07
