snapshot,raw_label,province,action,reason
20260430,Kilo,Ituri,dropped,no shapefile Nom or alias match
20260430,Rutshuru,Nord-Kivu,dropped,no shapefile Nom or alias match
20260430,Minova,Sud-Kivu,dropped,no shapefile Nom or alias match
20260430,Bagira,Sud-Kivu,dropped,no shapefile Nom or alias match
20260430,Kirotshe,Nord-Kivu,dropped,no shapefile Nom or alias match
20260430,Central Massa,Kongo,dropped,no shapefile Nom or alias match
20260430,Miti Murhesa,Sud-Kivu,dropped,no shapefile Nom or alias match
20260430,Yakusu,Tshopo,dropped,no shapefile Nom or alias match
20260430,Mwana,Sud-Kivu,dropped,no shapefile Nom or alias match
20260430,Walungu,Sud-Kivu,dropped,no shapefile Nom or alias match
20260430,Central Lukonga,Kasaï,dropped,no shapefile Nom or alias match
20260430,Central Kisantu,Kongo,dropped,no shapefile Nom or alias match
20260507,Kilo,Ituri,dropped,no shapefile Nom or alias match
20260507,Rutshuru,Nord-Kivu,dropped,no shapefile Nom or alias match
20260507,Minova,Sud-Kivu,dropped,no shapefile Nom or alias match
20260507,Bagira,Sud-Kivu,dropped,no shapefile Nom or alias match
20260507,Kirotshe,Nord-Kivu,dropped,no shapefile Nom or alias match
20260507,Central Massa,Kongo,dropped,no shapefile Nom or alias match
20260507,Miti Murhesa,Sud-Kivu,dropped,no shapefile Nom or alias match
20260507,Yakusu,Tshopo,dropped,no shapefile Nom or alias match
20260507,Mwana,Sud-Kivu,dropped,no shapefile Nom or alias match
20260507,Walungu,Sud-Kivu,dropped,no shapefile Nom or alias match
20260507,Central Lukonga,Kasaï,dropped,no shapefile Nom or alias match
20260507,Central Kisantu,Kongo,dropped,no shapefile Nom or alias match
20260514,Kilo,Ituri,dropped,no shapefile Nom or alias match
20260514,Rutshuru,Nord-Kivu,dropped,no shapefile Nom or alias match
20260514,Minova,Sud-Kivu,dropped,no shapefile Nom or alias match
20260514,Bagira,Sud-Kivu,dropped,no shapefile Nom or alias match
20260514,Kirotshe,Nord-Kivu,dropped,no shapefile Nom or alias match
20260514,Central Massa,Kongo,dropped,no shapefile Nom or alias match
20260514,Miti Murhesa,Sud-Kivu,dropped,no shapefile Nom or alias match
20260514,Yakusu,Tshopo,dropped,no shapefile Nom or alias match
20260514,Mwana,Sud-Kivu,dropped,no shapefile Nom or alias match
20260514,Walungu,Sud-Kivu,dropped,no shapefile Nom or alias match
20260514,Central Lukonga,Kasaï,dropped,no shapefile Nom or alias match
20260514,Central Kisantu,Kongo,dropped,no shapefile Nom or alias match
20260521,Kilo,Ituri,dropped,no shapefile Nom or alias match
20260521,Rutshuru,Nord-Kivu,dropped,no shapefile Nom or alias match
20260521,Minova,Sud-Kivu,dropped,no shapefile Nom or alias match
20260521,Bagira,Sud-Kivu,dropped,no shapefile Nom or alias match
20260521,Kirotshe,Nord-Kivu,dropped,no shapefile Nom or alias match
20260521,Central Massa,Kongo,dropped,no shapefile Nom or alias match
20260521,Miti Murhesa,Sud-Kivu,dropped,no shapefile Nom or alias match
20260521,Yakusu,Tshopo,dropped,no shapefile Nom or alias match
20260521,Mwana,Sud-Kivu,dropped,no shapefile Nom or alias match
20260521,Walungu,Sud-Kivu,dropped,no shapefile Nom or alias match
20260521,Central Lukonga,Kasaï,dropped,no shapefile Nom or alias match
20260521,Central Kisantu,Kongo,dropped,no shapefile Nom or alias match
20260524,Kilo,Ituri,dropped,no shapefile Nom or alias match
20260524,Rutshuru,Nord-Kivu,dropped,no shapefile Nom or alias match
20260524,Minova,Sud-Kivu,dropped,no shapefile Nom or alias match
20260524,Bagira,Sud-Kivu,dropped,no shapefile Nom or alias match
20260524,Kirotshe,Nord-Kivu,dropped,no shapefile Nom or alias match
20260524,Central Massa,Kongo,dropped,no shapefile Nom or alias match
20260524,Miti Murhesa,Sud-Kivu,dropped,no shapefile Nom or alias match
20260524,Yakusu,Tshopo,dropped,no shapefile Nom or alias match
20260524,Mwana,Sud-Kivu,dropped,no shapefile Nom or alias match
20260524,Walungu,Sud-Kivu,dropped,no shapefile Nom or alias match
20260524,Central Lukonga,Kasaï,dropped,no shapefile Nom or alias match
20260524,Central Kisantu,Kongo,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Kilo,Ituri,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Rutshuru,Nord-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Minova,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Bagira,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Mwana,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Miti Murhesa,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Mweso,Nord-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Kirotshe,Nord-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Idjwi,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Binza,Nord-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Walungu,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Mubumbano,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Lemera,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Vangu,Haut-Katanga,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Citenge,Kasaï Oriental,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Haut Plateau,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Itombwe,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Kalambayi Kaban,Lomami,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Kaniola,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Kiambi,Tanganyika,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_prior_20260503,Kibirizi,Nord-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Kilo,Ituri,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Rutshuru,Nord-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Minova,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Bagira,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Mwana,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Miti Murhesa,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Mweso,Nord-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Kirotshe,Nord-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Idjwi,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Binza,Nord-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Walungu,Sud-Kivu,dropped,no shapefile Nom or alias match
ituri:ituri_subscriber_days_followup_20260608,Mubumbano,Sud-Kivu,dropped,no shapefile Nom or alias match
