nom,date,cumulative_confirmed_cases
Mongbwalu,2026-05-14,0
Mongbwalu,2026-05-15,0
Rwampara,2026-05-15,13
Bunia,2026-05-15,0
Mongbwalu,2026-05-18,1
Rwampara,2026-05-18,19
Bunia,2026-05-18,6
Nyankunde,2026-05-18,4
Goma,2026-05-18,1
Katwa,2026-05-18,1
Butembo,2026-05-18,1
Mongbwalu,2026-05-19,13
Rwampara,2026-05-19,25
Bunia,2026-05-19,6
Nyankunde,2026-05-19,4
Goma,2026-05-19,1
Katwa,2026-05-19,1
Butembo,2026-05-19,1
Mongbwalu,2026-05-20,13
Rwampara,2026-05-20,24
Bunia,2026-05-20,11
Nyankunde,2026-05-20,5
Goma,2026-05-20,1
Katwa,2026-05-20,1
Butembo,2026-05-20,1
Bambu,2026-05-20,1
Mongbwalu,2026-05-21,14
Rwampara,2026-05-21,31
Bunia,2026-05-21,15
Nyankunde,2026-05-21,11
Goma,2026-05-21,1
Katwa,2026-05-21,1
Butembo,2026-05-21,2
Bambu,2026-05-21,1
Nizi,2026-05-21,1
Kilo,2026-05-21,1
Miti Murhesa,2026-05-21,1
Mongbwalu,2026-05-22,10
Rwampara,2026-05-22,32
Bunia,2026-05-22,23
Nyankunde,2026-05-22,9
Goma,2026-05-22,1
Katwa,2026-05-22,0
Butembo,2026-05-22,2
Bambu,2026-05-22,1
Nizi,2026-05-22,2
Kilo,2026-05-22,1
Miti Murhesa,2026-05-22,1
Aru,2026-05-22,1
Mongbwalu,2026-05-23,19
Rwampara,2026-05-23,32
Bunia,2026-05-23,24
Nyankunde,2026-05-23,9
Goma,2026-05-23,1
Katwa,2026-05-23,4
Butembo,2026-05-23,1
Bambu,2026-05-23,0
Nizi,2026-05-23,2
Kilo,2026-05-23,1
Miti Murhesa,2026-05-23,1
Aru,2026-05-23,1
Mongbwalu,2026-05-24,19
Rwampara,2026-05-24,32
Bunia,2026-05-24,24
Nyankunde,2026-05-24,9
Goma,2026-05-24,1
Katwa,2026-05-24,4
Butembo,2026-05-24,3
Bambu,2026-05-24,2
Nizi,2026-05-24,2
Kilo,2026-05-24,1
Miti Murhesa,2026-05-24,1
Aru,2026-05-24,1
Oicha,2026-05-24,1
Kalunguta,2026-05-24,1
Mongbwalu,2026-05-25,19
Rwampara,2026-05-25,32
Bunia,2026-05-25,24
Nyankunde,2026-05-25,9
Goma,2026-05-25,1
Butembo,2026-05-25,3
Bambu,2026-05-25,0
Nizi,2026-05-25,2
Kilo,2026-05-25,1
Miti Murhesa,2026-05-25,1
Aru,2026-05-25,1
Oicha,2026-05-25,1
Kalunguta,2026-05-25,1
Kyondo,2026-05-25,1
Mongbwalu,2026-05-26,20
Rwampara,2026-05-26,33
Bunia,2026-05-26,36
Nyankunde,2026-05-26,10
Goma,2026-05-26,1
Katwa,2026-05-25,4
Butembo,2026-05-26,3
Bambu,2026-05-26,0
Nizi,2026-05-26,2
Kilo,2026-05-26,1
Miti Murhesa,2026-05-26,1
Aru,2026-05-26,1
Oicha,2026-05-26,1
Kalunguta,2026-05-26,1
Karisimbi,2026-05-26,0
Damas,2026-05-26,0
