nom,date,cumulative_confirmed_deaths
Mongbwalu,2026-05-14,ND
Mongbwalu,2026-05-15,ND
Rwampara,2026-05-15,ND
Bunia,2026-05-15,ND
Mongbwalu,2026-05-18,ND
Rwampara,2026-05-18,ND
Bunia,2026-05-18,ND
Nyankunde,2026-05-18,ND
Goma,2026-05-18,ND
Katwa,2026-05-18,ND
Butembo,2026-05-18,ND
Mongbwalu,2026-05-19,0
Rwampara,2026-05-19,0
Bunia,2026-05-19,0
Nyankunde,2026-05-19,0
Goma,2026-05-19,ND
Katwa,2026-05-19,ND
Butembo,2026-05-19,ND
Mongbwalu,2026-05-20,0
Rwampara,2026-05-20,0
Bunia,2026-05-20,0
Nyankunde,2026-05-20,0
Goma,2026-05-20,ND
Katwa,2026-05-20,ND
Butembo,2026-05-20,ND
Bambu,2026-05-20,ND
Mongbwalu,2026-05-21,0
Rwampara,2026-05-21,1
Bunia,2026-05-21,1
Nyankunde,2026-05-21,0
Goma,2026-05-21,0
Katwa,2026-05-21,0
Butembo,2026-05-21,0
Bambu,2026-05-21,0
Nizi,2026-05-21,0
Kilo,2026-05-21,0
Miti Murhesa,2026-05-21,0
Mongbwalu,2026-05-22,0
Rwampara,2026-05-22,2
Bunia,2026-05-22,2
Nyankunde,2026-05-22,0
Goma,2026-05-22,0
Katwa,2026-05-22,0
Butembo,2026-05-22,0
Bambu,2026-05-22,0
Nizi,2026-05-22,0
Kilo,2026-05-22,0
Miti Murhesa,2026-05-22,0
Komanda,2026-05-22,1
Mongbwalu,2026-05-23,0
Rwampara,2026-05-23,2
Bunia,2026-05-23,2
Nyankunde,2026-05-23,0
Goma,2026-05-23,0
Katwa,2026-05-23,0
Butembo,2026-05-23,0
Bambu,2026-05-23,0
Nizi,2026-05-23,0
Kilo,2026-05-23,0
Miti Murhesa,2026-05-23,0
Komanda,2026-05-23,1
Mongbwalu,2026-05-24,0
Rwampara,2026-05-24,2
Bunia,2026-05-24,2
Nyankunde,2026-05-24,0
Goma,2026-05-24,0
Katwa,2026-05-24,0
Butembo,2026-05-24,0
Bambu,2026-05-24,0
Nizi,2026-05-24,0
Kilo,2026-05-24,0
Miti Murhesa,2026-05-24,0
Komanda,2026-05-24,1
Mongbwalu,2026-05-25,0
Rwampara,2026-05-25,2
Bunia,2026-05-25,2
Nyankunde,2026-05-25,0
Goma,2026-05-25,0
Kilo,2026-05-25,0
Miti Murhesa,2026-05-25,0
Komanda,2026-05-25,1
Mongbwalu,2026-05-26,0
Rwampara,2026-05-26,2
Bunia,2026-05-26,2
Nyankunde,2026-05-26,0
Goma,2026-05-26,0
Katwa,2026-05-26,0
Butembo,2026-05-26,0
Bambu,2026-05-26,0
Nizi,2026-05-26,0
Kilo,2026-05-26,0
Miti Murhesa,2026-05-26,0
Komanda,2026-05-26,1
Mongbwalu,2026-05-27,0
Rwampara,2026-05-27,2
Bunia,2026-05-27,2
Nyankunde,2026-05-27,0
Goma,2026-05-27,0
Katwa,2026-05-27,0
Butembo,2026-05-27,0
Bambu,2026-05-27,0
Nizi,2026-05-27,0
Kilo,2026-05-27,0
Miti Murhesa,2026-05-27,0
Komanda,2026-05-27,1
Aru,2026-05-28,1
Bambu,2026-05-28,2
Bunia,2026-05-28,8
Kilo,2026-05-28,0
Mongbwalu,2026-05-28,10
Nizi,2026-05-28,0
Nyankunde,2026-05-28,1
Rwampara,2026-05-28,13
Mangala,2026-05-28,0
Damas,2026-05-28,0
Aungba,2026-05-28,0
Gety,2026-05-28,0
Komanda,2026-05-28,1
Jiba,2026-05-28,0
Lita,2026-05-28,0
Butembo,2026-05-28,2
Goma,2026-05-28,0
Katwa,2026-05-28,3
Karisimbi,2026-05-28,0
Kyondo,2026-05-28,0
Oicha,2026-05-28,0
Kalunguta,2026-05-28,1
Beni,2026-05-28,0
Miti Murhesa,2026-05-28,1
Aru,2026-05-29,1
Bambu,2026-05-29,2
Bunia,2026-05-29,8
Kilo,2026-05-29,0
Mongbwalu,2026-05-29,10
Nizi,2026-05-29,0
Nyankunde,2026-05-29,1
Rwampara,2026-05-29,13
Mangala,2026-05-29,0
Damas,2026-05-29,0
Aungba,2026-05-29,0
Gety,2026-05-29,0
Komanda,2026-05-29,0
Jiba,2026-05-29,0
Lita,2026-05-29,0
