nom,date,escaped
Bunia,2026-05-20,1
Rwampara,2026-05-20,1
Mongbwalu,2026-05-20,2
Nyankunde,2026-05-20,0
Bunia,2026-05-21,9
Rwampara,2026-05-21,0
Mongbwalu,2026-05-21,1
Nyankunde,2026-05-21,0
Bunia,2026-05-22,ND
Rwampara,2026-05-22,ND
Mongbwalu,2026-05-22,ND
Nyankunde,2026-05-22,ND
Bunia,2026-05-23,5
Rwampara,2026-05-23,0
Mongbwalu,2026-05-23,18
Nyankunde,2026-05-23,0
Aru,2026-05-23,0
Bunia,2026-05-24,4
Rwampara,2026-05-24,2
Mongbwalu,2026-05-24,0
Nyankunde,2026-05-24,0
Aru,2026-05-24,0
Bambu,2026-05-24,0
Bunia,2026-05-27,3
Rwampara,2026-05-27,0
Mongbwalu,2026-05-27,0
Nyankunde,2026-05-27,0
Bambu,2026-05-27,0
Bunia,2026-05-29,1
Rwampara,2026-05-29,0
Mongbwalu,2026-05-29,3
Nyankunde,2026-05-29,0
Bambu,2026-05-29,11
Aru,2026-05-29,0
Bunia,2026-05-30,1
Rwampara,2026-05-30,0
Mongbwalu,2026-05-30,2
Nyankunde,2026-05-30,2
Bambu,2026-05-30,0
Aru,2026-05-30,0
