nom,date,hospitalised
Bunia,2026-05-20,40
Rwampara,2026-05-20,54
Mongbwalu,2026-05-20,30
Nyankunde,2026-05-20,16
Bunia,2026-05-21,50
Rwampara,2026-05-21,88
Mongbwalu,2026-05-21,36
Nyankunde,2026-05-21,23
Bunia,2026-05-22,44
Rwampara,2026-05-22,45
Mongbwalu,2026-05-22,34
Nyankunde,2026-05-22,24
Bunia,2026-05-23,50
Rwampara,2026-05-23,25
Mongbwalu,2026-05-23,31
Nyankunde,2026-05-23,33
Aru,2026-05-23,2
Bunia,2026-05-24,53
Rwampara,2026-05-24,25
Mongbwalu,2026-05-24,18
Nyankunde,2026-05-24,33
Aru,2026-05-24,2
Bambu,2026-05-24,2
Bunia,2026-05-29,17
Rwampara,2026-05-29,13
Mongbwalu,2026-05-29,11
Nyankunde,2026-05-29,38
Bambu,2026-05-29,5
Aru,2026-05-29,2
Bunia,2026-05-30,23
Rwampara,2026-05-30,19
Mongbwalu,2026-05-30,22
Nyankunde,2026-05-30,44
Bambu,2026-05-30,10
Aru,2026-05-30,5
