nom,date,new_other
Bunia,2026-05-20,12
Rwampara,2026-05-20,12
Mongbwalu,2026-05-20,9
Nyankunde,2026-05-20,0
Bunia,2026-05-21,31
Rwampara,2026-05-21,12
Mongbwalu,2026-05-21,9
Nyankunde,2026-05-21,0
Bunia,2026-05-22,8
Rwampara,2026-05-22,10
Mongbwalu,2026-05-22,4
Nyankunde,2026-05-22,1
Bunia,2026-05-23,6
Rwampara,2026-05-23,2
Mongbwalu,2026-05-23,3
Nyankunde,2026-05-23,4
Aru,2026-05-23,0
Bunia,2026-05-24,6
Rwampara,2026-05-24,4
Mongbwalu,2026-05-24,5
Nyankunde,2026-05-24,0
Aru,2026-05-24,0
Bambu,2026-05-24,0
Bunia,2026-05-27,2
Rwampara,2026-05-27,2
Mongbwalu,2026-05-27,1
Nyankunde,2026-05-27,0
Bambu,2026-05-27,3
