nom,date,total_poe_passed
Nizi,2026-05-20,0
Bunia,2026-05-20,544
Rwampara,2026-05-20,102
Tchomia,2026-05-20,291
Nyankunde,2026-05-20,0
Mongbwalu,2026-05-20,0
Aru,2026-05-20,718
Mahagi,2026-05-20,184
Nizi,2026-05-21,0
Bunia,2026-05-21,1473
Rwampara,2026-05-21,940
Tchomia,2026-05-21,130
Nyankunde,2026-05-21,0
Mongbwalu,2026-05-21,0
Nizi,2026-05-22,ND
Bunia,2026-05-22,3360
Rwampara,2026-05-22,3152
Tchomia,2026-05-22,167
Nyankunde,2026-05-22,ND
Mongbwalu,2026-05-22,ND
Aru,2026-05-22,1143
Nizi,2026-05-23,ND
Bunia,2026-05-23,3360
Rwampara,2026-05-23,3152
Tchomia,2026-05-23,167
Nyankunde,2026-05-23,ND
Mongbwalu,2026-05-23,ND
Aru,2026-05-23,1143
