nom,date,community_engagement_fr
Mongbalu,14-05-2026,Sensibilisation initiale des chefs communautaires et des chefs religieux pour contrer les rumeurs de « maladie mystique ». 
Bunia,30-05-2026,250 fidèles adventistes sensibilisés en swahili. 1 636 élèves (dont 990 filles) sensibilisés dans 3 écoles. Briefing de RECO sur le SBC dans 5 sites (159 RECO atteints).
Rwampara,30-05-2026,45 taxis-motocyclistes sensibilisés sur 2 parkings. Livraison de 50 affiches au EP Maki Mbudha.
Bambu,30-05-2026,305 étudiants (dont 102 filles) sensibilisés à l'EP Kilomoto sur les mesures préventives et le reporting des alertes.
Aru,30-05-2026,Plaidoyer auprès du Président du conseil territorial de la jeunesse pour son implication dans les activités du CREC.
Nyankunde,30-05-2026,78 personnes sensibilisées dans le village de Bambili. Formation de 25 RECO sur SBC.
Bunia,31-05-2026,Sensibilisation au lavage des mains par la DG INSP et la DG OMS. Diffusion interactive sur RTNC (large audience).
Rwampara,31-05-2026,Sensibilisation de 190 leaders communautaires (dont 17 femmes) sur les mesures de prévention de la MVE.
Bambu,31-05-2026,Sensibilisation à l'École Primaire Kilomoto : 305 élèves (dont 102 filles).
Aru,31-05-2026,Briefing de 27 personnes sur la RCCE et la surveillance communautaire.
Nyankunde,31-05-2026,Conférence pédagogique à l'église de Brahanam (72 fidèles). Sensibilisation dans l'Aire de Santé de Sota : 391 personnes dont 233 femmes.
Katwa,02-06-2026,"22 580 personnes sensibilisées. Bilan critique de 511 cas de résistance communautaire, reflet d’une méfiance structurelle."
Beni,02-06-2026,"22 580 personnes sensibilisées. Bilan critique de 511 cas de résistance communautaire, reflet d’une méfiance structurelle."
Butembo,02-06-2026,"22 580 personnes sensibilisées. Bilan critique de 511 cas de résistance communautaire, reflet d’une méfiance structurelle."
Oicha,02-06-2026,"22 580 personnes sensibilisées. Bilan critique de 511 cas de résistance communautaire, reflet d’une méfiance structurelle."
Kalunguta,02-06-2026,"22 580 personnes sensibilisées. Bilan critique de 511 cas de résistance communautaire, reflet d’une méfiance structurelle."
Kyondo,02-06-2026,"22 580 personnes sensibilisées. Bilan critique de 511 cas de résistance communautaire, reflet d’une méfiance structurelle."
Goma,02-06-2026,"22 580 personnes sensibilisées. Bilan critique de 511 cas de résistance communautaire, reflet d’une méfiance structurelle."
