nom,date,coordination_fr
Mongbwalu,17-05-2026,Réunions de coordination organisées avec le CGUS autour du Maire de Mongbwalu. Réunion bipartite : OMS et gouvernement provincial. 2 réunions provinciales du COUSP ont eu lieu. Réunion nationale du COUSP organisée autour de la situation d'urgence. Plan d'action de l'Incident (PAI) en cours d'élaboration.
Aru,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Aungba,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Bambu,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Damas,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Bunia,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Gety,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Kilo,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Komanda,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Lita,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Mangala,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Mongbwalu,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Nizi,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Nyankunde,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara. Réunion de planification du sous-pilier One Health avec les experts nationaux CCUS et DLMA. Résultat : Plan d’action One Health élaboré."
Rwampara,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Butembo,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Goma,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Oicha,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Kalunguta,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Katwa,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Kyondo,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Beni,30-05-2026,"27 véhicules et 4 ambulances mis à disposition des différents piliers sur les axes : Rwampara, Nyakunde, Bunia, Nizi, Bambu, Mongbwalu, Ariwara."
Rwampara,31-05-2026,"Inauguration officielle du Centre Standardisé de Traitement Ebola (CTE) au CME Rwampara, réhabilité et remis par le Directeur Général de l'OMS au Responsable des Incidents MVE représentant le Ministre de la Santé Publique."
Goma,03-06-2026,Participation à la cérémonie de sortie du premier patient guéri à Goma. Réunion sur le système de gestion des incidents tenue à la DPS. Suivi de la quarantaine des voyageurs.
Beni,03-06-2026,Rencontre avec le gouverneur provincial. Recommandation pour le financement direct des activités de réponse. Réunion du cluster santé tenue.
Nyankunde,07-06-2026,Visite dominicale du Gouverneur Militaire au CME Nyankunde où un ETC est installé ; il a encouragé les patients atteints de la MVE et leurs familles à respecter l'isolement à l'ETC lorsque cela est nécessaire.
Bunia,07-06-2026,"Lors du lancement de la formation sur l'approche zonale, le Directeur Général de l'INSP a appelé les 17 Chefs Médicaux de Zone de Santé du bureau de Bunia et leurs Animateurs communautaires à s'impliquer activement dans les activités de réponse à la MVE. Organisation d'une formation de tous les chefs médicaux des zones de santé de la province de l'Ituri sur le fonctionnement d'un IMS et l'approche zonale pour cette réponse (60 participants : équipes-cadre INSP/COUSP-RDC, DPS et HZ). Poursuite du soutien aux provinces touchées sous la direction des membres de l'IM et de l'IMS basés à Bunia. Visite des ETC CME et Rwampara par le DG d'Alima, guidé par le DG INSP et Coordonnateur COUSP."
Nyankunde,09-06-2026,Cérémonies de rétablissement et de sortie des patients à Nyankunde et Mongbwalu.
Mongbwalu,09-06-2026,Cérémonies de rétablissement et de sortie des patients à Nyankunde et Mongbwalu.
Beni,11-06-2026,Mission d'évaluation de la coordination à Beni et Butembo.
Butembo,11-06-2026,"Mission d'évaluation de la coordination à Beni et Butembo. Échange de travail entre la DG de l'INSP et l'équipe provinciale pour renforcer les actions de réponse ; et visite de supervision du COUSP et de l'IM national aux ETC de Butembo et Katwa.
Kinshasa, 11-06-2026, Briefing de préparation à la MVE pour tout le personnel de l'hôpital du Cinquantenaire."
Rwampara,11-06-2026,Séance de travail (Coordination-IMS-PTF-Experts Nationaux) pour renforcer le référencement et le suivi des contacts.
Katwa,11-06-2026,Visite de supervision du COUSP et de l'IM National aux ETC de Butembo et Katwa.
Aru,24-06-2026,"Lancement du plan transfrontalier de la riposte de 90 jours entre la RDC et l'Ouganda. Renforcement des capacités conjointes de laboratoire et des dispositifs de prise en charge clinique prioritaires, à commencer par la zone stratégique d'Aru."
Bunia,29-06-2026,"Descente sur le terrain dans la ZS de Bunia en vue d'évaluer la capacité d'extension des structures d'isolement. Identification, par l'équipe de la riposte (dont la CREC) appuyée par les partenaires techniques et financiers, du site destiné à l'aménagement du CTE dans la ZS de Bunia."
Bunia,10-07-2026,"Inauguration de l'extension CTE à l'HGR Bunia et CT du camp de déplacés de Kingozi en Ituri par le Ministre de la Santé publique, accompagné du Secrétaire général à la Santé, des membres de la coordination nationale et des partenaires techniques et financiers. Acheminement de 200 poches de sang en provenance de PNTS Kinshasa. Poursuite des supervisions de la riposte sur terrain."
