nom,date,infection_prevention_controle_en
Mongbwalu,14-05-2026,"IPC assessment: CS Abelkozo (score 7%), HGR Mongbwalu (score 34%). Briefing on hand hygiene, waste management, patient isolation. Preparation of isolation at HGR Mongbwalu. Implementation of IPC measures in local health facilities despite implementation difficulties."
Mongbwalu,17-05-2026,"IPC assessment: CS Abelkozo (score 7%), HGR Mongbwalu (score 34%). Briefing on hand hygiene, waste management, patient isolation. Continuation of IPC implementation assessments in healthcare facilities."
Bunia,18-05-2026,"3 safe burials carried out and decontamination: HGR Bunia, CEM Nyankunde, CS Les Mérites. Start of briefing of supervisor and decontamination teams. Assessment of premises for triage at Ituri DPS office. Briefing of technicians for maintenance and disinfection of DPS meeting rooms. Assessment of fire-safety equipment at DPS and LPSP (9 extinguishers for LPSP, 12 for DPS, all to be maintained)."
Rwampara,18-05-2026,"Start of assessment of CME Nyankunde — 18 suspected patients present without isolation, including 8 healthcare providers. Briefing of 68 providers on EVD. Clinical assessment Dieu Guéri: scorecard 28%. Disinfection of some premises of internal-medicine ward of CME, Tumaini clinic and one household. Identification of a site for patient isolation."
Mongbwalu,18-05-2026,"Briefing of 5 providers at HGR Mongbwalu. Decontamination of isolation unit. Provision of WASH kits to 4 health centres by ACF."
Bunia,19-05-2026,"Setting up of triage at DPS. 1 safe burial carried out and decontamination at HGR Bunia. Briefing of supervisor and decontamination teams of Bunia HZ, DPS supervisors and LPSP surface technicians. Briefing of 3 HGR Bunia surface technicians assigned to triage at entrance. Provision of handwashing facilities to IPC pillar by MUSACA. Provision of 30 kg of chlorine by Save the Children to IPC pillar."
Rwampara,19-05-2026,"Accompaniment of care providers in hand-hygiene practice at CS Shari, Dele and Poste de Santé la Victoire. Decontamination of Clinique la Grâce Divine and CM Gloria."
Mongbwalu,19-05-2026,"Briefing of 3 providers at CTE Mongbwalu on standard precautions. Decontamination of isolation unit. Gaps: insufficient surface technicians at HGR Mongbwalu; lack of training of sub-commission members; lack of PPE to carry out safe burials."
Bunia,20-05-2026,"2 safe burials carried out, 1 ongoing. Briefing of 5 emergency-room providers at HGR Bunia on preventive measures. Provision of PPE and decontamination equipment for practical session of Bunia HZ teams. Decontamination of isolation building at HGR Bunia. Provision of some IPC supplies by partner ALIMA."
Rwampara,20-05-2026,"Briefing of 4 staff at BALIDJA morgue on PPE before handling any body. Continued briefing of 63 providers (hygienists, nurses, doctors, midwives) at CME Nyankunde on biomedical waste management. 3 safe burials carried out, 1 ongoing. Decontamination of isolation room at HGR Rwampara. Briefing of 10 surface technicians and 15 IPC supervisors on donning/doffing PPE."
Mongbwalu,20-05-2026,"Formative supervision in 4 health structures: CS Uponyaji, CS Rwampara, Amani health post, CS Tchunga (without conducting assessment)."
Bunia,21-05-2026,"Decontamination of isolation building at HGR Bunia. Provision of some IPC supplies by partner ALIMA."
Rwampara,21-05-2026,"Briefing of 4 staff at Balidja morgue on PPE before handling any body. Continued briefing of 63 providers at CME Nyankunde on biomedical waste management. 3 safe burials carried out, 1 ongoing. Decontamination of isolation room at HGR Rwampara. Briefing of 10 surface technicians and 15 IPC supervisors on donning/doffing PPE."
Mongbwalu,21-05-2026,"Formative supervision in 4 health structures: CS Uponyaji, CS Rwampara, Amani health post, CS Tchunga (without conducting assessment)."
Bunia,22-05-2026,"3 safe burials carried out (HGR Bunia, Rwankole, Bunia-Cite) on 4 alerts. Briefing of healthcare providers in 2 facilities (CSR Bunia-cité and Clinique Universelle) on waste management. Briefing of 3 teams (Bunia and Rwampara HZ) on safe burials. Briefing of 9 providers by EMIR on triage and isolation, waste management, active case search and injection safety."
Rwampara,22-05-2026,"Briefing of 20 providers on PPE donning/doffing, waste elimination, decontamination and handwashing (HGR Rwampara). Decontamination of CME Nyankunde surfaces, HGR Rwampara intensive care unit and isolation room. 3 safe burials carried out on 4 alerts (1 body recovered by family). Decontamination in 20 households around the case."
Mongbwalu,22-05-2026,"Decontamination of HGR Mongbwalu ambulance. Hot briefing of 36 hygienists (with PTF support) on PPE donning/doffing."
Nyankunde,22-05-2026,"Decontamination of a household in Marabo and IEM Nyankunde."
Mongbwalu,30-05-2026,"Official launch of IPC-WASH training: 280 healthcare providers (public, private, traditional healers). Decontamination of Mongbwalu General Referral Hospital + 5 households. 13 rapid assessments carried out out of 15 alerts. Provision of 2 IPC kits to Yedi and Ngamau health centers."
Bunia,30-05-2026,"Emergency PPE donation to CH UNIBU and SOFEPADI Clinic. 2 rapid assessments on 2 alerts. 2 decontaminations (Bunia General Referral Hospital + Bigo HC)."
Rwampara,30-05-2026,"Provision of IPC kits to Rwampara Health Zone office. 3 rapid assessments (General Referral Hospital, Balidja Mortuary, Nyakunde CME) + 3 household decontaminations. Tchunga HC score card: 24.2%. Briefing on hand hygiene, injection safety, waste management."
Aru,30-05-2026,"Briefing of 13 Aru Hospital staff on PPE use and waste management. Score card: 34%."
Bunia,31-05-2026,"Supply and installation of waste management devices. Decontamination of 1 health facility (Clinique Marie Claire). 5 Safe and Dignified Burials (SDB) carried out out of 6 alerts. 1 decontamination. 1 SWAB sample. Incident: community uprising against the SDB team at the University Clinics (staff involved in a death). 1 SDB not carried out."
Rwampara,31-05-2026,"Ring around CME Nyankunde: 3 health facilities, 9 schools, 9 churches, 1,496 households identified. Briefing on safe injections at CS Ngona. 3 SDB, 3 decontaminations, 3 SWAB."
Bambu,31-05-2026,"Installation of 6 hand washing stations at the General Referral Hospital."
Aru,31-05-2026,"Supply of 4 hand washing stations to the Anglican church."
Logo,31-05-2026,"Incident: community resistance during an attempted SDB in the health zone."
Bunia,01-06-2026,"Briefing of authorities at Groupe Scolaire Gabriel (Ring CH SOFEPADI) on handwashing. | Briefing of 6 health providers at CS Lembabo on triage principles, ring surveillance around the facility, and supply of a Thermoflash thermometer."
Nyankunde,01-06-2026,"Briefing of 16 health providers (10 SDB teams, 4 supervisors, 2 IT officers) on standard precautions and donning/doffing of PPE. | 5 SDBs carried out on 5 alerts (4 at HGR, 1 at AS Birinyama)."
Rwampara,01-06-2026,"Decontamination of 4 health facilities following their temporary closure (PS Espoir, PS Tumaini, PS Uponyadji, PS la Solution) and decontamination of the maternity ward of Clinique Elikya Mère-Enfant."
Bambu,01-06-2026,"Installation of 37 labelled waste bins for medical waste across the different wards of the HGR."
Aru,01-06-2026,"Briefing of 21 health providers at BCZ on donning/doffing of PPE and standard precautions, with follow-up at the HGR."
Bunia,02-06-2026,"IPC assessments conducted in Bunia Cité. Decontaminations at HGR Bunia. 4 SDB (Safe and Dignified Burial) operations carried out in Bunia. Follow-up of 11 health providers. | INCIDENT: SDB team assaulted at Bunia cemetery — 5 workers injured."
Nyankunde,02-06-2026,"5 SDB operations carried out in Nyankunde."
Rwampara,02-06-2026,"6 SDB operations carried out in Rwampara."
Katwa,02-06-2026,"Average IPC score: alarming 40%. Training of 40 providers at HGR Virunga. Briefing of 126 staff members at Heal Africa."
Beni,02-06-2026,"Average IPC score: alarming 40%. Training of 40 providers at HGR Virunga. Briefing of 126 staff members at Heal Africa."
Butembo,02-06-2026,"Average IPC score: alarming 40%. Training of 40 providers at HGR Virunga. Briefing of 126 staff members at Heal Africa."
Oicha,02-06-2026,"Average IPC score: alarming 40%. Training of 40 providers at HGR Virunga. Briefing of 126 staff members at Heal Africa."
Kalunguta,02-06-2026,"Average IPC score: alarming 40%. Training of 40 providers at HGR Virunga. Briefing of 126 staff members at Heal Africa."
Kyondo,02-06-2026,"Average IPC score: alarming 40%. Training of 40 providers at HGR Virunga. Briefing of 126 staff members at Heal Africa."
Goma,02-06-2026,"Average IPC score: alarming 40%. Training of 40 providers at HGR Virunga. Briefing of 126 staff members at Heal Africa."
Miti-Murhesa,02-06-2026,"Supply of IPC inputs (chlorine, thermo-flash thermometers) to 40 priority facilities with support from NGO AFPDE. Assessment of 35 facilities across 8 health zones. | INCIDENT: SDB team attacked by the community at Katana — coffin abandoned and body handled by the community, creating a major risk of new transmission chains."
Bunia,03-06-2026,"Overall: Formation of 35 EDS agents in Bunia and Rwampara health zones (first training session). Delivery of IPC supplies to Mambasa, Mandima, Niania and Mongbwalu health zones. Average IPC score (Ituri): not specified."
Nyankunde,03-06-2026,"Briefing of 20 healthcare providers on PPE donning and doffing at HGR Nyankunde."
Katwa,03-06-2026,"4 Safe and Dignified Burials (SDB) conducted on 10 alerts in Sayo health area."
Rwampara,03-06-2026,"Completion of construction work on 3 isolation units (CS Shari, CS Makabo, CS Lengabo)."
