nom,date,logistics_en
Bunia,30-05-2026,"Delivery of 5 tons of medicines (support UG-PDSS). Delivery of demarcation nets to Bunia CME."
Rwampara,31-05-2026,"Inauguration and commissioning of the standardised ETC at CME Rwampara, newly rehabilitated."
Bunia,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Rwampara,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones. Delivery of medicines and IPC inputs with support from UG-PDSS."
Mongbalu,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones. Delivery of IPC prevention and control inputs to these health zones."
Bambu,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Aru,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Kilo,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Nizi,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Mangala,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Damas,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Aungba,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Gety,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Komanda,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Lita,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Logo,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
