nom,date,management_en
Bunia,20-05-2026,"Patients in isolation: HGR 19, SOFEPADI 4, Clinique Bénédicte 2, RWAOLE 9, CH Elikya 6 (total 40). New admissions: 12 (0 PPL, 12 others). Deaths: 3 (0 confirmed, 3 suspects). Escapes: 1."
Rwampara,20-05-2026,"Patients in isolation: HGR 24, CME 8, CH Salama 14, CS Hoho 8 (total 54). New admissions: 17 (2 PPL, 15 others). Deaths: 2 (0 confirmed, 2 suspects). Non-cases discharged: 13. Escapes: 1. Transferred to HGR: 1."
Mongbwalu,20-05-2026,"Patients in isolation: 30. New admissions: 9 (5 PPL, 4 others). Deaths: 1 (0 confirmed, 1 suspect). Escapes: 2."
Nyankunde,20-05-2026,"Patients in isolation: 16. New admissions: 1 (0 PPL, 1 other)."
Bunia,21-05-2026,"Report: 36, New admissions: 14 (1 PPL, 13 others), Total in isolation: 50. Deaths: 8, Cumulative deaths: 4. Suspects in isolation: 48. Confirmed cases: 4 (2 new confirmed, 2 AC confirmed)."
Rwampara,21-05-2026,"Report: 115, New admissions: 24 (0 PPL, 24 others), Total in isolation: 139. Deaths: 4, Cumulative deaths: 10. Suspects in isolation: 21. Confirmed cases: 5 (0 new confirmed, 5 AC confirmed)."
Mongbwalu,21-05-2026,"Report: 35, New admissions: 2 (0 PPL, 2 others), Total in isolation: 37. Deaths: 1, Cumulative deaths: 15. Suspects in isolation: 5. Confirmed cases: 1."
Nyankunde,21-05-2026,"Report: 16, New admissions: 3 (0 PPL, 3 others), Total in isolation: 19. Deaths: 0, Cumulative deaths: 2. Suspects in isolation: 10. Confirmed cases: 4."
Bunia,22-05-2026,"Report: 33, New admissions: 11 (3 PPL, 8 others), Total in isolation: 44."
Rwampara,22-05-2026,"Report: 34, New admissions: 1 (1 PPL, 0 others), Total in isolation: 35."
Mongbwalu,22-05-2026,"Report: 30, New admissions: 1 (0 PPL, 1 other), Total in isolation: 45."
Nyankunde,22-05-2026,"Report: 24, New admissions: 4 (1 PPL, 3 others), Total in isolation: 47."
Aru,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Aungba,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Bambu,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Damas,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Bunia,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Gety,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Kilo,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Komanda,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Lita,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Mangala,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Mongbwalu,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Nizi,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Nyankunde,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Rwampara,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Butembo,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Goma,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Oicha,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Kalunguta,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
Katwa,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites."
