nom,date,monitoring_fr
Bunia,19-05-2026,"Alertes (18/05) : 16 au total (3 portées + 13 nouvelles) ; 10 vivants, 6 décédés ; 16 ont fait l'objet d'une enquête; 16 validés ; 10 échantillonnés ; 9 isolés, 1 non isolé. Alertes (19/05) : 35 au total ; 30 vivants, 5 décédés ; 33 ont fait l’objet d’une enquête, 2 n’ont pas fait l’objet d’une enquête ; 29 validés (5 décédés), 4 invalidés ; 10 échantillonnés ; 30 isolés."
Rwampara,19-05-2026,"Alertes (18/05) : 30 au total (7 portées + 23 nouvelles) ; 20 vivants, 10 décédés ; 22 ont fait l'objet d'une enquête; 21 validés, 1 invalidé ; 21 échantillonnés ; 46 isolés. Alertes (19/05) : 27 au total (8 portées + 19 nouvelles) ; 22 vivants, 5 décédés ; 20 ont fait l’objet d’une enquête, 7 n’ont pas fait l’objet d’une enquête ; 18 validés, 2 invalidés ; 13 échantillonnés ; 13 isolés."
Nyankunde,19-05-2026,"Alertes (18/05) : 4 au total (4 nouvelles) ; 3 vivants, 1 décédé ; 4 ont fait l’objet d’une enquête ; 4 validés ; 4 échantillonnés ; 3 isolés. Alertes (19/05) : 6 au total ; 2 vivants, 4 décédés ; 5 ont fait l’objet d’une enquête, 1 n’a pas fait l’objet d’une enquête ; 5 validés ; 5 échantillonnés."
Mongbwalu,19-05-2026,"Alertes (18/05) : 11 au total (11 nouvelles) ; 9 vivants, 2 décédés ; 9 ont fait l’objet d’une enquête, 2 n’ont pas fait l’objet d’une enquête ; 9 validés, 2 invalidés ; 2 échantillonnés ; 9 isolé. Alertes (19/05) : 7 au total ; 4 vivants, 3 décédés ; 7 ont fait l'objet d'une enquête; 7 validés ; 7 échantillonnés ; 4 isolés."
Nizi,19-05-2026,Alertes (18/05) : 1 au total (1 nouvelle) ; 1 vivant; 1 a fait l’objet d’une enquête ; 1 validé ; 0 échantillonné ; 1 non isolé.
Lita,19-05-2026,Alertes (18/05) : 2 au total (2 nouvelles) ; 2 vivants; 2 ont fait l'objet d'une enquête ; 2 validés ; 2 isolés.
Bambu,19-05-2026,"Briefing des équipes de surveillance sur les alertes, les enquêtes, la recherche active des cas, la liste des contacts et le suivi ; briefing de l'équipe PoE/PoC sur la cartographie de leurs sites ; organisation du pilier surveillance (points focaux par ZS, rôles et responsabilités) ; deployment of surveillance teams in 3 HZ in epidemic: Bunia, Rwampara and Nyankunde."
Komanda,19-05-2026,"Komanda 3 (1 décédé), Bambu 1 (1 décédé), Mangala 2; tous étudiés et validés."
Goma,20-05-2026,Soutien à Katwa et Goma HZ dans le cadre d'une enquête approfondie et d'une liste de contacts autour des cas confirmés ; mise en place d'un système de gestion des alertes (promotion du numéro vert de la protection civile) ; début du suivi des contacts autour du cas confirmé à Goma HZ ; enquêtes et liste de contacts autour de 4 cas confirmés au Nord Kivu.
Bunia,20-05-2026,"Alertes (20/05) : 39 au total ; 31 vivants, 8 décédés ; 35 ont fait l’objet d’une enquête, 4 n’ont pas fait l’objet d’une enquête ; 35 validés ; 11 échantillonnés ; 30 isolés, 1 non isolé."
