nom,date,national_community_engagement_en
DRC,19-05-2026,"The text describes a broadcast of a provincial military governor's message on Ebola Virus Disease (EVD) control compliance, disseminated via radio, schools, and social media. It includes advocacy meetings with provincial communication and protocol officials, as well as five advocacy meetings with representatives from education, youth, gender, military, and traditional healer sectors. The objectives are to prevent school expulsions due to lack of masks and to mobilize youth and women for community engagement. The text also mentions promotion of a local toll-free number."
DRC,31-05-2026,"Rumours identified include allegations of lethal injections at the Ebola Treatment Centre (ETC), questions about quality of care, treatment costs if the result is negative, and conjugal cohabitation. A rumour response plan with targeted messages must be activated."
DRC,01-06-2026,"Five rumours identified: traditional healers claim plant-based remedies cure EVD; previous interventions had no positive impact, questioning NGOs (AIDES, TEARFUND, OXFAM, UNICEF); threat to burn LENGABO hospital if a tarpaulin is installed; demand for mandatory prior consultation of village and groupement chiefs before any activity, with a joint committee including community representatives; fear that polio vaccination will be seen as injecting Ebola virus into children. A rumour response plan with targeted messages must be activated."
DRC,02-06-2026,"Two rumours identified: persistence of belief in plant-based traditional treatments, and distrust of vaccines — specifically concern that polio vaccination will be seen as injecting Ebola virus into children. A targeted rumour response plan must be activated."
DRC,05-06-2026," In North Kivu, 19,832 people were sensitised; 3,221 households visited through the involvement of 658 community health workers (RECO); 813 community leaders committed; 46 community alerts reported and 1 rumour clarified; 18 local radios engaged with 3 formats produced and broadcast. Mass sensitisation of 405 final-year students at an ENAFEP centre on EVD prevention measures and signs. An advocacy meeting with 40 youth leaders, women leaders, school representatives and religious leaders on their involvement in the fight against EVD. Additionally, 6,961 people sensitised and 1,567 households visited."
DRC,01-07-2026," 14,930 people reached via 86 social mobilization activities; feedback on care and contamination concerns."
DRC,05-07-2026,"National community engagement ongoing; 380 teachers briefed in Ituri; feedback mechanisms capturing community concerns on barrier measures and chlorine use."
DRC,06-07-2026,"Community sensitization reaching 9,144 persons via home visits and mass campaigns; 6 radio emissions produced."
DRC,08-07-2026,"1,571 people reached in Ituri. 31,007 people sensitized in Nord-Kivu. 3,127 people reached in public places."
DRC,13-07-2026,"2,958 people reached via home visits. 3,664 via talks. 3,755 mass sensitized. 36 radios engaged. 58 feedback captured, 11 clarified."
DRC,15-07-2026,"14,174 people reached through mass awareness; 112 community leaders engaged in Bunia, Nizi, and Rwampara."
DRC,17-07-2026,"2,538 people reached in Ituri via home visits; briefings and dialogues in North Kivu; 1,051 people sensitized in Tshopo."
DRC,18-07-2026,"1,320 people reached in Ituri via mass sensitization; briefing of 16 journalists in North Kivu."
DRC,20-07-2026,"17,031 people reached in Ituri; 27,787 in North Kivu; 14,434 in South Kivu via home visits."
DRC,22-07-2026,"675 people reached via home visits in Ituri; community dialogues with women and moto-taxi associations in North Kivu."
DRC,23-07-2026,"1,053 people reached via home visits in Ituri; briefings of RECO, religious leaders, and community leaders ongoing."
DRC,25-07-2026,"158 people reached via home visits, 120 via educational talks, 31 via community dialogues, 1,335 via mass sensitization in Ituri; 70 RECO and 25 IT trained in Haut-Uele."
DRC,27-07-2026,"2,088 people reached via home visits in Ituri; 256 via educational talks; community sensitization ongoing in North Kivu and Tshopo."
DRC,01-08-2026,"3,436 people via home visits, 3,372 via educational talks, 5,705 via mass sensitization in Ituri; 52 community alerts; community dialogues in North Kivu."
DRC,02-08-2026,"5,158 people via home visits, 2,331 via educational talks, 2,129 via mass sensitization in Ituri; 17,648 households visited in North Kivu."
DRC,03-08-2026,"5,060 people via home visits in Ituri; 19,379 households visited in North Kivu; mass sensitization in Tshopo and Haut-Uele."
DRC,04-08-2026,"4,112 people via home visits, 3,603 via educational talks, 4,558 via mass sensitization in Ituri; community dialogues in North Kivu."
