nom,date,national_community_engagement_fr
DRC,19-05-2026,"Le texte décrit la diffusion d'un message du gouverneur militaire d'une province sur le respect du contrôle de la maladie à virus Ebola (MVE), diffusé à la radio, dans les écoles et sur les réseaux sociaux. Il comprend des réunions de plaidoyer avec les responsables provinciaux de la communication et du protocole, ainsi que cinq réunions de plaidoyer avec des représentants des secteurs de l'éducation, de la jeunesse, du genre, de l'armée et des guérisseurs traditionnels. Les objectifs sont de prévenir les expulsions d’écoles en raison du manque de masques et de mobiliser les jeunes et les femmes pour l’engagement communautaire. Le texte mentionne également la promotion d'un numéro local gratuit."
DRC,31-05-2026,"Les rumeurs identifiées incluent des allégations d'injections létales au Centre de traitement Ebola (CTE), des questions sur la qualité des soins, les coûts des traitements si le résultat est négatif et la cohabitation conjugale. Un plan de réponse aux rumeurs avec des messages ciblés doit être activé."
DRC,01-06-2026,"Cinq rumeurs ont été identifiées : les guérisseurs traditionnels prétendent que les remèdes à base de plantes guérissent la MVE ; les interventions précédentes n'ont eu aucun impact positif, interpellant les ONG (AIDES, TEARFUND, OXFAM, UNICEF) ; menace d'incendier l'hôpital de LENGABO si une bâche est installée ; exiger la consultation préalable obligatoire des chefs de village et de groupement avant toute activité, avec une commission paritaire comprenant des représentants communautaires ; craignent que la vaccination contre la polio soit considérée comme une injection du virus Ebola aux enfants. Un plan de réponse aux rumeurs avec des messages ciblés doit être activé."
DRC,02-06-2026,Deux rumeurs ont été identifiées : la persistance de la croyance dans les traitements traditionnels à base de plantes et la méfiance à l'égard des vaccins – en particulier la crainte que la vaccination contre la polio soit considérée comme une injection du virus Ebola aux enfants. Un plan de réponse ciblé aux rumeurs doit être activé.
DRC,05-06-2026,"Au Nord Kivu, 19 832 personnes ont été sensibilisées ; 3 221 ménages visités grâce à l'implication de 658 agents de santé communautaire (RECO) ; 813 leaders communautaires engagés ; 46 alertes communautaires signalées et 1 rumeur clarifiée ; 18 radios locales engagées avec 3 formats produits et diffusés. Sensibilisation massive de 405 étudiants de dernière année dans un centre ENAFEP sur les mesures et signes de prévention de la MVE. Une réunion de plaidoyer avec 40 jeunes leaders, femmes leaders, représentants d'écoles et chefs religieux sur leur implication dans la lutte contre la MVE. De plus, 6 961 personnes ont été sensibilisées et 1 567 ménages visités."
DRC,01-07-2026,"14,930 people reached via 86 social mobilization activities; feedback on care and contamination concerns."
DRC,05-07-2026,"Engagement communautaire national en cours ; 380 enseignants briefés en Ituri ; mécanismes de retour captant les préoccupations sur les mesures barrières et l'eau chlorée."
DRC,06-07-2026,"Community sensitization reaching 9,144 persons via home visits and mass campaigns; 6 radio emissions produced."
DRC,08-07-2026,"1,571 people reached in Ituri. 31,007 people sensitized in Nord-Kivu. 3,127 people reached in public places."
DRC,13-07-2026,"2,958 people reached via home visits. 3,664 via talks. 3,755 mass sensitized. 36 radios engaged. 58 feedback captured, 11 clarified."
DRC,15-07-2026,"14,174 people reached through mass awareness; 112 community leaders engaged in Bunia, Nizi, and Rwampara."
DRC,17-07-2026,"2 538 personnes touchées en Ituri; briefings et dialogues au Nord-Kivu; 1 051 sensibilisés en Tshopo."
DRC,18-07-2026,"1 320 personnes touchées en Ituri; briefing de 16 journalistes au Nord-Kivu."
DRC,20-07-2026,"17 031 personnes touchées en Ituri; 27 787 au Nord-Kivu; 14 434 au Sud-Kivu via des visites à domicile."
DRC,22-07-2026,"675 personnes touchées via VAD en Ituri; dialogues communautaires avec femmes et motos-taxi au Nord-Kivu."
DRC,23-07-2026,"1 053 personnes touchées via VAD en Ituri; briefings de RECO, leaders religieux et communautaires en cours."
DRC,25-07-2026,"158 personnes touchées en porte-à-porte, 120 causeries, 31 dialogues, 1 335 sensibilisation de masse en Ituri; 70 RECO et 25 IT formés au Haut-Uélé."
DRC,27-07-2026,"2 088 personnes touchées en VAD en Ituri; 256 causeries; sensibilisation communautaire en cours au Nord-Kivu et Tshopo."
DRC,01-08-2026,"3 436 personnes via VAD, 3 372 via causeries, 5 705 via sensibilisation de masse en Ituri; 52 alertes communautaires; dialogues communautaires au Nord-Kivu."
DRC,02-08-2026,"5 158 personnes via VAD, 2 331 via causeries, 2 129 via sensibilisation de masse en Ituri; 17 648 ménages visités au Nord-Kivu."
DRC,03-08-2026,"5 060 personnes via VAD en Ituri; 19 379 ménages visités au Nord-Kivu; sensibilisation de masse en Tshopo et Haut-Uélé."
DRC,04-08-2026,"4 112 personnes via VAD, 3 603 via causeries, 4 558 via sensibilisation de masse en Ituri; dialogues communautaires au Nord-Kivu."
