nom,date,national_coordination_fr
DRC,14-05-2026,"Deuxième réunion nationale de coordination d'urgence organisée autour du Directeur Général de l'INSP sur la situation de la MVE en Ituri."
DRC,19-05-2026,"Réunion de haut niveau tenue par le Ministre de la Communication avec le Ministre de la Santé, le Directeur Général du CDC Afrique, le Pr Muyembe et le Directeur Général de l'INSP. Réunion de coordination tenue avec les sections. Participation aux réunions stratégiques au niveau central. Partage des activités prioritaires avec le budget au niveau central."
DRC,30-05-2026,Remise officielle de 1 800 motos par le gouvernement central à la DPS Ituri et à la SGI. Arrivée de la délégation nationale de l'Unité de Sûreté et de Sécurité du SGI/MVE. Appui au pilier laboratoire pour l’harmonisation des données.
DRC,01-06-2026,"Réunion d’experts organisée pour une analyse approfondie afin d’orienter la réponse. Appui aux piliers sur l’utilisation des boîtes à images lors des briefings de relais communautaires. Réunion d'orientation organisée avec la DG INSP, l'Incident Manager (IM), l'Adjoint IM et les coordinateurs COUSP. Discussion entre le GI et l'agent des opérations sur la modélisation."
DRC,02-06-2026,"Réunion tripartite entre le ministère de la Santé, de l'Hygiène et de la Protection sociale (à travers le COUSP/INSP et le SGI), le ministère de l'Enseignement supérieur et universitaire, de la Recherche scientifique et de l'Innovation et le ministère de l'Éducation nationale et de la Nouvelle Citoyenneté — sur l'intégration des activités de réponse scolaire, universitaire et universitaire dans le 17ème plan de préparation et de réponse à l'épidémie. Début des travaux d’élaboration du plan opérationnel consolidé (CONOPS). Partage du plan opérationnel provincial et suivi des voyageurs en quarantaine."
DRC,03-06-2026,Réunion de coordination stratégique présidée par le Gouverneur de l'Ituri. Débriefing au Gouverneur par la DG INSP sur la mission conjointe à Mongbwalu (INSP-SGI-OMS-UNICEF-PAM) axée sur l'évaluation des activités de réponse. Poursuite de l’élaboration du plan opérationnel consolidé (CONOPS) et de l’exercice de priorisation des zones de santé.
DRC,04-06-2026,"Débriefing de l'équipe de coordination et des partenaires techniques et financiers sur la mission à Nizi HZ, récemment touchée. Déploiement d'une mission conjointe dans la ZS de Mongbwalu pour évaluer les formations sanitaires sur la mise en œuvre de la continuité des soins."
DRC,05-06-2026,"Une équipe de coordination et des partenaires techniques ont été débriefés après une mission dans une zone de santé récemment touchée. Le Directeur général de l'INSP a tenu une conférence de presse avec les médias locaux sur la gestion positive des rumeurs, les pratiques funéraires sûres et dignes, l'orientation des personnes symptomatiques vers des établissements et l'importance d'un centre de traitement Ebola. Une mission conjointe a été envoyée dans une autre zone de santé pour évaluer la continuité des soins dans les établissements de santé. Une réunion sur le système de gestion des incidents a eu lieu à la Division provinciale de la santé pour examiner l'évolution de l'épidémie et les priorités opérationnelles."
DRC,06-06-2026,"Un soutien continu a été apporté aux provinces touchées sous la direction du gestionnaire des incidents et des membres de l'IMS basés à Bunia, en Ituri. Une réunion a eu lieu avec les partenaires techniques et financiers pour orienter la réponse en fonction de la priorisation de l'analyse des risques. Au total, 345 alertes ont été émises, dont 322 ont fait l'objet d'une enquête (93,3 %). Il y a eu 117 cas suspects enregistrés : 60,3% au Nord-Kivu, 38,8% en Ituri et 0,9% au Sud-Kivu. Pour la recherche des contacts, 5 040 contacts ont été suivis, dont 2 535 (50,3 %) ont été vus."
DRC,16-06-2026,"Préparatifs en cours pour un atelier visant à examiner les premières actions de réponse à la MVE. Réunion de coordination organisée pour suivre les activités de terrain avec les partenaires techniques et financiers sur tous les piliers de la réponse."
DRC,23-06-2026,"Supervision des équipes terrain et des structures de prise en charge. Tenue de la réunion de coordination et appui aux piliers."
