nom,date,national_laboratory_fr
DRC,19-05-2026,"Vingt-sept échantillons provenant de nouveaux cas suspects ont été reçus et tous les 27 ont été analysés, aucun rééchantillonnage n'ayant été analysé. Il y a eu 18 cas confirmés ce jour-là, avec 3 cas en cours de vérification. Quarante échantillons étaient en attente d'analyse au laboratoire de l'Ituri, et 54 échantillons provenant d'un autre endroit attendaient d'être expédiés au même laboratoire."
DRC,06-06-2026,"Quatre-vingt-quatorze échantillons ont été collectés et analysés, avec un taux de positivité de 28,7 % (27 positifs). Six échantillons supplémentaires ont été collectés et analysés, dont aucun n'était positif pour la maladie à virus Ebola (MVE). Au total, 193 résultats étaient en attente en raison d'un manque de réactifs."
DRC,01-07-2026,"230 échantillons collectés ; 54 positifs (Ituri 50, Kivu du Nord 4)."
DRC,05-07-2026,"250 échantillons collectés et analysés à l'échelle nationale ; taux de positivité de 25,2 % (63 confirmés)."
DRC,06-07-2026,"252 échantillons collectés et analysés (84 positifs), avec des échantillons supplémentaires en attente dans le Kivu du Sud."
DRC,08-07-2026,"157 échantillons en Ituri (19,1 % de positivité). 113 au Nord-Kivu (2,7 % de positivité). 2 au Sud-Kivu (en cours d'analyse)."
DRC,13-07-2026,"328 échantillons analysés (229 Ituri, 99 Nord-Kivu). 47 positifs (42 Ituri, 5 Nord-Kivu). Positivité : 18,3 % Ituri, 6,5 % Nord-Kivu. Le retard persiste."
DRC,15-07-2026,"318 échantillons testés à l'échelle nationale ; 51 positifs ; taux de positivité : Ituri 22,0 %, Kivu du Nord 7,8 %."
DRC,17-07-2026,"Équipements reçus à Logo; renforcement des capacités diagnostiques à Logo et Mambasa."
DRC,18-07-2026,"Intrants déployés à Mahagi pour installation labo MVE-B; 53 échantillons Haut-Uélé et 6 Tshopo en cours d'analyse."
DRC,20-07-2026,"Laboratoire diagnostique installé dans la zone sanitaire de Logo ; 113 échantillons testés en Ituri, 42 positifs ; 126 au Kivu du Nord, 8 positifs."
DRC,22-07-2026,"221 échantillons testés en Ituri (73 positifs); 178 au Nord-Kivu (18 positifs); 12 au Haut-Uélé (6 positifs)."
DRC,23-07-2026,"155 échantillons testés en Ituri (51 positifs); 120 au Nord-Kivu (15 positifs); labo installé à Kasenyi avec 2 machines RadiOne."
DRC,25-07-2026,"224 échantillons testés en Ituri (115 positifs, 51,3%); 135 au Nord-Kivu (7 positifs); 10 au Haut-Uélé (2 positifs); 5 en Tshopo (tous négatifs)."
DRC,26-07-2026,"186 échantillons testés en Ituri (53 positifs, 28,4%); 113 au Nord-Kivu (8 positifs); 8 au Haut-Uélé (1 positif); 5 en Tshopo (tous négatifs)."
DRC,27-07-2026,"206 échantillons testés en Ituri (87 positifs, 42,2%); 100 au Nord-Kivu (11 positifs); aucun échantillon du Haut-Uélé."
DRC,01-08-2026,"290 échantillons testés en Ituri (67 positifs, 23,1%); 153 au Nord-Kivu (22 positifs); 19 au Haut-Uélé (4 positifs); 5 au Sud-Kivu (tous négatifs)."
DRC,02-08-2026,"210 échantillons testés en Ituri (53 positifs, 25,2%); 132 au Nord-Kivu (18 positifs); 4 au Haut-Uélé (1 positif); 1 au Sud-Kivu (négatif)."
DRC,03-08-2026,"275 échantillons testés en Ituri (64 positifs, 23,3%); 106 au Nord-Kivu (14 positifs); 2 prélèvements post-mortem positifs au Haut-Uélé; 5 négatifs au Sud-Kivu."
DRC,04-08-2026,"251 échantillons testés en Ituri (91 positifs, 36,8%); 98 au Nord-Kivu (10 positifs); 4 positifs au Haut-Uélé; 16 négatifs au Sud-Kivu."
