nom,date,national_monitoring_en
DRC,04-06-2026,"Cohort 1 was symptomatic from 14–23 May, peaking on 18 May, suggesting a probable common source. Cohort 2 developed symptoms from 25 May to 3 June, indicating continued spread and a potential large reservoir."
DRC,15-06-2026,"766 alerts, 678 investigated (88.5%). 274 alive validated, 96 deceased. 235 suspected cases (61 deaths). Contacts: 6,475 followed, 4,171 seen (64.4%). 44/55 PoC activated (80.0%). 56,294 travelers. Screening: 95.0%. Handwashing: 94.8%. Sensitization: 97.0%. 7 alerts notified and validated. 5 alerts transferred to ETC or SDB. 2 dead bodies intercepted at Dele and Nyori PoC without SDB due to late EDS team arrival. Incident: 5 PoE/PoC staff sequestered by uniformed elements for allegedly spreading the disease."
Ituri,23-06-2026,"160 alerts (31 carried over + 129 new), 160 investigated (100%). 47 alive validated, 19 deceased. 66 suspected cases. Contacts: 6,312 followed, 4,918 seen (77.9%). 307 new contacts listed in 5 HZs. 47/55 PoC activated (85.5%). 72,530 travelers. Screening: 99.7%. Handwashing: 97.7%. Sensitization: 94.6%. 4 alerts notified: 1 living validated/referred to HGR Bunia (Mudzibala), 1 dead body swabbed (Mudzibala), 1 living invalidated (FONER Mambasa), 1 living released (Ombay/Ariwara)."
North-Kivu,23-06-2026,"515 alerts, 515 investigated (100%). 39 alive validated, 26 deceased. 65 suspected cases. Contacts: 1,938 followed, 1,421 seen (73.3%). 77 contacts completed their 21-day follow-up.12/13 PoE reinforced (92.3%). 150,276 travelers. Screening: 97.5%. Handwashing: 97.6%. Sensitization: 97.0%. 0 alerts notified."
South-Kivu,23-06-2026,"24 alerts (13 carried over + 11 new), 20 investigated (83.3%). 7 alive validated. 7 suspected cases. Contacts: 96 followed, 96 seen (100.0%). 78 contacts completed their 21-day follow-up. 59/68 PoC/PoE (86.8%). 222,806 travelers. Screening: 97.5%. Handwashing: 97.7%. Sensitization: 96.6%. 4 alerts notified, 1 validated/referred, 1 body swabbed."
DRC,01-07-2026,"958 alerts reported, 842 investigated; 10,821 contacts under follow-up."
DRC,05-07-2026,"927 alerts recorded nationwide; 824 investigated (88.9%); 12,412 contacts under follow-up (77.5% seen)."
DRC,06-07-2026,"1,216 alerts registered (1,150 new), 79.2% investigated; 12,190 contacts under follow-up (75.2% seen)."
DRC,08-07-2026,"898 alerts recorded, 67.4% investigated. 11,927 contacts under follow-up (78.6% seen). 498 new contacts listed."
Ituri,09-07-2026,"530 alerts (38 carried over + 492 new), 329 investigated (62.1%). 157 alive validated, 59 deceased. 216 suspected cases. Contacts: 10,744 followed, 8,136 seen (75.7%). 524 new contacts listed. 4 contacts became suspected. 92 contacts completed 21-day follow-up. 57/57 PoC activated (100%). 99,663 travelers. Screening: 93.2%. Handwashing: 92.4%. Sensitization: 99.4%. 10 alerts notified: 5 living (validated/referred), 2 dead bodies (swabbed)."
North-Kivu,09-07-2026,"812 alerts (81 carried over + 731 new), 731 investigated (90.0%). 44 alive validated, 22 deceased. 66 suspected cases. Contacts: 2,202 followed, 1,970 seen (89.5%). 121 new contacts listed. 2 contacts became suspected. 71 contacts completed 21-day follow-up. 14/14 PoE reinforced (100%). 56,282 travelers. Screening: 97.9%. Handwashing: 97.9%. Sensitization: 97.9%. 0 alerts notified."
South-Kivu,09-07-2026,"9 alerts (0 carried over + 9 new), 9 investigated (100%). 2 alive validated. 2 suspected cases. Contacts: 0 (all contacts completed follow-up)."
Ituri,11-07-2026,"637 alerts (175 carried over + 462 new), 471 investigated (73.9%). 118 alive validated, 48 deceased. 166 suspected cases. Contacts: 10,450 followed, 7,886 seen (75.5%). 364 new contacts listed. 13 contacts became suspected. 294 contacts completed 21-day follow-up. 57/57 PoC activated (100%). 90,389 travelers. Screening: 93.9%. Handwashing: 93.0%. Sensitization: 98.2%. 5 alerts notified: 3 living (2 validated/referred, 1 invalidated), 2 dead bodies (1 swabbed). At Nyamusasi PoC, a 26-year-old man from Tchomia to Kasenyi with fever was validated, isolated and transferred to CT."
North-Kivu,11-07-2026,"696 alerts, 696 investigated (100%). 34 alive validated, 22 deceased. 56 suspected cases. Contacts: 2,285 followed, 2,084 seen (91.2%). 117 new contacts listed. 6 contacts became suspected. 72 contacts completed 21-day follow-up. 14/14 PoE reinforced (100%). 53,705 travelers. Screening: 98.0%. Handwashing: 98.0%. Sensitization: 98.0%. 2 alerts notified: 1 living (16-year-old boy from Mongamba to Butembo with fever 38.5°C and headache, referred to Bundji CT), 1 dead body."
South-Kivu,11-07-2026,"12 alerts (0 carried over + 12 new), 12 investigated (100%). 6 alive validated, 0 deceased. 6 suspected cases. Contacts: 0 (all contacts completed follow-up)."
DRC,13-07-2026,"1,156 alerts total, 1,049 investigated (90.5%). 54 new confirmed cases. 45 health zones affected. Cumulative 2,011 cases and 754 deaths (37.5% CFR)."
DRC,15-07-2026,"1,167 new alerts received nationally; 51 new confirmed cases reported; 46 health zones affected."
DRC,17-07-2026,"86 new confirmed cases, 29 deaths, 32 recoveries; no new health zones affected."
DRC,18-07-2026,"83 new confirmed cases, 40 deaths, 22 recoveries; no new health zones affected."
DRC,20-07-2026,"50 new confirmed cases, 32 deaths, 13 recoveries; no new health zones affected."
DRC,22-07-2026,"97 new confirmed cases, 62 deaths, 13 recoveries; no new health zones affected."
DRC,23-07-2026,"68 new confirmed cases, 40 deaths, 21 recoveries; new health zone affected: Rungu (Haut-Uele)."
DRC,25-07-2026,"125 new confirmed cases, 51 deaths, 15 recoveries; no new health zones affected; 48 zones remain affected, 47 with active transmission."
DRC,26-07-2026,"62 new confirmed cases, 32 deaths, 12 recoveries; no new health zones affected; 48 zones remain affected, 47 with active transmission."
DRC,27-07-2026,"98 new confirmed cases, 50 deaths, 14 recoveries; no new health zones affected; 48 zones remain affected, 47 with active transmission."
DRC,01-08-2026,"74 new confirmed cases, 36 deaths, 42 recoveries; no new health zones affected; 49 zones remain affected."
DRC,02-08-2026,"58 new confirmed cases, 37 deaths, 19 recoveries; new health zone affected: Lubero (North Kivu); 51 zones now affected."
DRC,03-08-2026,"72 new confirmed cases, 44 deaths, 22 recoveries; no new health zones affected; 51 zones remain affected."
DRC,04-08-2026,"99 new confirmed cases, 52 deaths, 27 recoveries; no new health zones affected; 51 zones remain affected."
