nom,date,national_security_en
DRC,31-05-2026,"The presence of armed groups in the territories of Djugu, Irumu, and Mambasa continues to limit humanitarian access in several affected or at-risk health zones."
DRC,01-06-2026,"The presence of armed groups in the territories of Djugu, Irumu, and Mambasa continues to limit humanitarian access in several affected or at-risk health zones."
DRC,02-06-2026,"The presence of armed groups in the territories of Djugu, Irumu, and Mambasa continues to limit humanitarian access in several affected or at-risk health zones. An SDB team was assaulted at Bunia cemetery, resulting in 5 response workers injured."
DRC,03-06-2026,"A security briefing was provided for 19 experts who arrived from Kinshasa."
DRC,01-07-2026,"Insecurity (CODECO, ADF) limiting access to high-risk zones. PERSPECTIVES: Strengthen security coordination and humanitarian access."
DRC,05-07-2026,"Security challenges include community resistance affecting response in Bunia; access limitations due to insecurity (CODECO, ADF) restricting operations in high-risk areas."
DRC,06-07-2026,"96 HCW cases including 19 deaths. Challenges: community resistance, insecurity (CODECO/ADF), staff strike in Bunia and Rwampara."
DRC,08-07-2026,"CHALLENGES: Strikes of health providers in Bunia and Rwampara. Insecurity and limited access (CODECO, ADF). PERSPECTIVES: Strengthening security coordination and humanitarian access."
DRC,11-07-2026,"No new major security incident reported in the consolidated presentation of 11 July 2026. Vigilance remains reinforced around PoE/PoC and treatment structures. Continued coordination with politico-administrative and security authorities to ensure response teams' access to high-risk areas."
DRC,13-07-2026,"No major security incidents. Teams secured at PoC/PoE and EDS. CHALLENGES: Insecurity with CODECO/ADF restricts access. PERSPECTIVES: Enhance security coordination and humanitarian access."
DRC,15-07-2026,"CHALLENGES: Insecurity (CODECO, ADF) restricts operations in Ituri and North Kivu."
DRC,17-07-2026,"CHALLENGES: Insecurity (CODECO/ADF) restricts operations, EDS team attack at Muchanga, community resistance."
DRC,18-07-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance to swabs."
DRC,19-07-2026,"Attack at Muchanga bridge. Community resistance reported in Komanda, Mambasa, Mandima and Mangala. Community incident in Tuungane requiring security/mitigation intervention. Continued strike of providers in Bunia and Rwampara (resumption announced after military governor's intervention)."
DRC,20-07-2026,"CHALLENGES: Insecurity (CODECO/ADF) restricts operations; EDS team attack at Muchanga; community resistance."
DRC,22-07-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance to swabs."
DRC,23-07-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; need to secure teams."
DRC,25-07-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; need to secure teams and intensify RCCE."
DRC,26-07-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; need to secure teams and intensify RCCE."
DRC,27-07-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; need to secure teams and intensify RCCE."
DRC,01-08-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance to swabs; ambulance vandalized in Beni."
DRC,02-08-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; need to secure teams and intensify RCCE."
DRC,03-08-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, ambulance stoned in Beni; community resistance."
DRC,04-08-2026,"CHALLENGES: Insecurity (CODECO/ADF), EDS team attack at Muchanga, community resistance; ambulance stoned in Beni."
