nom,date,provincial_infection_prevention_controle_fr
North Kivu,21-05-2026,"La décontamination a été effectuée à l'hôpital de Matanda après qu'un cas confirmé de Katwa y ait été identifié. Une évaluation de la carte de pointage IPC a donné à l'hôpital un score de 70,6 %. Une cartographie des cas a été réalisée et un examen de la situation des CTE a identifié les besoins en matière d'approvisionnement en PCI, notamment en EPI, en approvisionnement en eau, en gestion des déchets et en organisation du circuit des patients."
Ituri,05-06-2026,"Quinze prestataires de soins (4 établissements) ont été informés des précautions standard, de la gestion des déchets et du lavage des mains ; 14 autres (4 établissements) sur le lavage des mains, le bionettoyage et la gestion des déchets. La décontamination a été effectuée à l'orphelinat Saint-Nicolas, suivie d'une ouverture de cercle couvrant 3 formations sanitaires, 13 églises et 433 foyers."
North-Kivu,05-06-2026,Les tableaux de bord IPC dans cinq établissements étaient en moyenne de 40 %. Vingt-huit prestataires là-bas (plus cinq dans une autre zone) ont reçu des séances d'information IPC. Un enterrement en toute sécurité a été effectué. La décontamination a concerné deux installations et un foyer. Les comités IPC-WASH ont été redynamisés dans cinq établissements et les circuits de triage/isolement réorganisés dans deux centres de santé.
South-Kivu,05-06-2026,"Une évaluation de deux établissements de santé dans une zone de santé a montré des scores de 42 % et 35,5 %, avec des plans d'amélioration élaborés. Des fournitures IPC ont été fournies, dont 100 kits de lavage des mains (40 dans les établissements de santé, 60 distribués dans la communauté). Quarante kits de décontamination ont été déployés dans deux zones de santé."
North-Kivu,22-05-2026,"La décontamination a été effectuée à l'hôpital de Matanda où séjournait un cas confirmé de Katwa. Une évaluation de la carte de pointage IPC de l'hôpital de Matanda a montré un score de 70,6 %. Une cartographie des cas a été réalisée. Un examen de la situation des ETC a été réalisé pour identifier les besoins en approvisionnement en PCI, notamment en EPI, approvisionnement en eau, gestion des déchets et circuit des patients."
Ituri,06-06-2026,"6 des 15 enterrements effectués en toute sécurité. 23 prestataires de 6 établissements ont été informés des principes fondamentaux de la MVE, du bionettoyage et des précautions standard. Une zone : 10 formés aux EPI/déchets ; maison décontaminée; 3 enterrements sécurisés sur 5 alertes (2 reportées). Autre zone : 8 enterrements sécurisés sur 9 alertes ; 7 installations décontaminées ; 33 personnes ont été informées sur le lavage des mains et la gestion des déchets."
North-Kivu,06-06-2026,"Évaluation des risques au CH Saint Joseph (Rughenda). Scores IPC : Clinique La Vie des Hommes 27,5%, Nya Kalunga Makuha 22,5%, Vuhika 51,1%, Masuli 46,5% (moyenne 36,9%). Décontamination réalisée dans 2 des 6 locaux des cliniques universitaires Horizon liés à deux prestataires positifs."
South-Kivu,06-06-2026,"Prise en charge du RIT pour l’enquête sur Nyangezi. Deux tableaux de bord des établissements : 38 % et 43 % ; plans d’amélioration élaborés. Prise en charge de la décontamination des soins intensifs dans un hôpital général. Distribution de 100 kits de lavage des mains (40 établissements, 60 communautés) et 40 kits de décontamination dans deux zones de santé."
Ituri,07-06-2026,"L’IPC obtient un score de 5 à 67,7 % dans 8 établissements. Formation de 2 équipes funéraires (24 prestataires). Ailleurs : briefings, 3 ring, 1 établissement décontaminé + 3 logements, matériel de lavage des mains fourni. Autre zone : briefings, 30 ring home. Un autre : 12 briefés, 6 maisons nettoyées. Autre : 6 enterrements sécurisés (8 alertes, 2 en cours) + 6 décontaminations."
North-Kivu,07-06-2026,Le suivi et l'accompagnement ont été réalisés dans trois centres de santé d'une zone de santé. La formation de 45 prestataires de santé a été clôturée à l'ETC dans la même zone de santé. La décontamination a été réalisée dans 4 locaux sur 6 des cliniques universitaires d'une autre zone de santé autour de deux cas confirmés.
