nom,date,provincial_logistics_fr
Ituri,17-05-2026,Une réunion préparatoire a eu lieu pour une évaluation des besoins logistiques pour tous les piliers.
Ituri,19-05-2026,"L'identification du parc de véhicules comprenait 4 ambulances (à HGR Bunia, HGR Mongbwalu, PNC et UMIR). Les programmes et coordinations disposaient de 3 véhicules (CPLT, MTN, PEV). L'OMS a fourni 5 véhicules pour le pilier surveillance. L'UNICEF a fourni 6 véhicules de location, dont 1 pour SBC."
North-Kivu,20-05-2026,Une évaluation des besoins logistiques a été élaborée pour plusieurs zones de santé. Des kits Starlink pour la connexion Internet ont été acquis auprès de l'UNICEF. Cinq véhicules donnés par l'OMS ont été reçus. Deux cents litres de diesel ont été reçus grâce au soutien de MEMISA-Belgique.
Ituri,22-05-2026,Des intrants et des équipements de protection ont été livrés aux piliers laboratoire et IPC pour quatre installations de catégorie 1. Des intrants et des équipements de protection ont également été livrés à une zone de santé pour des enterrements sûrs et dignes. Le déballage des intrants et équipements reçus le 21 mai 2026 a eu lieu. Un suivi des travaux d’installation des tentes de soins et d’installation des ETC a été réalisé.
Ituri,06-06-2026,"Un suivi des travaux de construction d'ETC a été réalisé à HGR Bunia (travaux de finition en cours), CME Bunia et HGR Rwampara. Un suivi des travaux de réhabilitation de l’ETC a également été réalisé à HGR Katwa."
North-Kivu,06-06-2026,"Du matériel de laboratoire a été livré à l'INRB/Beni, dont 24 thermo-flash pour le PNHF et 4 thermo-flash pour HGR Katwa. La préparation de l’évaluation des besoins en approvisionnement pour les piliers de Katwa HZ a été réalisée. Un suivi de l'entretien des véhicules de zone et des déplacements des 4 véhicules fournis par l'OIM a eu lieu."
Ituri,07-06-2026,"Les travaux de construction d'ETC ont été suivis à HGR Bunia (finition en cours), CME Bunia et HGR Rwampara. Les apports IPC ont été livrés au CS Bigo, au CME Bunia (crèche), au DPS et à l'orphelinat CHEM-CHEM. Des médicaments ont été livrés à Bunia HZ. Les travaux de réhabilitation de l'ETC ont été surveillés à HGR Katwa. Un soutien continu a été fourni pour répondre aux besoins réguliers de tous les piliers."
Ituri,08-06-2026,"Un approvisionnement en intrants a été fourni à 31 formations sanitaires ou zones de santé, et des médicaments (articles critiques) ont été fournis à 5 zones de santé. Au total, 135 motos ont assuré la mobilité des équipes de terrain au niveau des différentes zones et piliers de santé. Au total, 34 véhicules, dont 2 ambulances fonctionnelles, ont assuré la mobilité des équipes de coordination et de terrain dans les différentes zones de santé."
Ituri,24-06-2026,"23 véhicules et 4 ambulances déployés. 10 contrats de véhicules renouvelés (appui UG-PDSS). Approvisionnement en intrants pour les piliers Bien-être et Surveillance. Complément d'intrants PCI pour Kilo. Préparation de kits médicaments pour Nia-Nia. 12 colis Tyvek (98 kg) livrés à Mongbwalu et 22 colis intrants PCI (202 kg) pour la formation à Nizi. Infrastructure : poursuite des travaux du nouveau CTE à HGR Bunia ; 12 nouvelles tentes opérationnelles au CME Bunia ; 1 tente installée pour le pilier Bien-être."
Nord-Kivu,24-06-2026,"Livraison des médicaments UG-PDSS à Butembo, Kalunguta et Katwa. Livraison d'intrants PCI à Beni. Déploiement des équipes des piliers. Livraison d'intrants PCI au sous-pilier PoC/PoE pour le PoC Kasitu."
Ituri,25-06-2026,"24 véhicules et 4 ambulances déployés. Installation de puces électroniques sur 100 motos UNICEF et 60 motos du gouvernement central. Livraison d'intrants PCI pour les EDS ; préparation des intrants PCI pour le CSR Sota. Poursuite des travaux d'aménagement aux CTE HGR Bunia et HGR Rwampara. CTE opérationnels : HGR Bunia, HGR Nyankunde, ISTM Nyankunde, HGR Aru, HGR Rwampara et CME Bunia."
Ituri,27-06-2026,"Réception d'intrants (appui OMS). Livraison de thermoflash au pilier Surveillance. Livraison d'intrants PCI et médicaments à Nia-Nia et Mambasa. Livraison d'intrants PCI à Rwampara et à la Croix-Rouge. Poursuite des travaux d'aménagement aux CTE HGR Bunia, HGR Rwampara et HGR Mongbwalu. Suivi des infrastructures opérationnelles à HGR Bunia, CME Bunia, HGR Nyankunde, ISTM Nyankunde, HGR Rwampara, HGR Aru et HGR Mongbwalu."
Nord-Kivu,27-06-2026,"Réception d'équipements informatiques UNICEF (5 imprimantes, 4 cartouches, 1 ordinateur)."
Ituri,29-06-2026,"Approvisionnement en médicaments et intrants PCI (don Village Reach) aux CTE Nyankunde, CME, Rwampara, Elikya, HGR Bunia et Mongbwalu. Approvisionnement logistique en intrants PCI, PECH, Surveillance, EDS aux ZS de Rwampara, Komanda, Nizi et Beni (5.567 kg, 157 colis)."
Nord-Kivu,29-06-2026,"Poursuite de la livraison des intrants PCI aux équipes de la riposte."
Ituri,30-06-2026,"Réception de réactifs de laboratoire, médicaments, intrants de communication et 60 ordinateurs portables + 8 imprimantes. Livraison médicaments et intrants PCI à Mangala, CTE CME/Bunia et laboratoire provincial. 26 véhicules et 4 ambulances déployés. Carburant: 360 litres pour 4 ambulances et 2 jeeps. Travaux d'aménagement en cours à HGR Bunia, HGR Rwampara, HGR Mongbwalu et HGR Nizi."
Nord-Kivu,30-06-2026,"Livraison de tubes Swab à Oicha. Briefings des chauffeurs et EPP sur les mesures barrières. Déploiement des équipes PCI pour suivi pratique."
Ituri,02-07-2026,"Réception de 2 véhicules Toyota Land Cruiser (don UNICEF à la DPS Ituri). 26 véhicules et 4 ambulances déployés. Travaux d'aménagement en cours au CTE Elikya (14 tentes disponibles, laboratoire en construction, installation électrique). Livraison de supports de communication au pilier CREC. Participation à la quantification des besoins pour Ituri, Nord-Kivu, Sud-Kivu, Haut-Uélé et Tshopo."
Nord-Kivu,02-07-2026,"Réception du 2ème lot de médicaments (don OMS). Livraison d'intrants à Beni : 1 cartouche Laser Jet/222 et 38 colis de médicaments (don UG-PDSS). Approvisionnement d'Oicha en intrants PCI (50 pièces Tyvek). Livraison de 370 colis de médicaments (don UG-PDSS) à Mutwanga. Colisage des intrants PCI, surveillance et médicaments pour M'PA. Suivi de la réparation du véhicule (don ICCN) à MUTSORA."
Ituri,03-07-2026,"26 véhicules et 4 ambulances déployés. Poursuite des travaux d'aménagement au CTE Rwampara. Livraison d'intrants PCI et PECH au CSR SOTA. Livraison de kit CREC à HGR Rwampara. Livraison de kits PIC et surveillance au SGI Provincial. Livraison à Nyankunde: 7 colis kit surveillance (29 kg). Livraison à CTE CME: 11 colis kit PIC (70 kg). Réception d'intrants PEC et PCI de l'OMS."
Nord-Kivu,03-07-2026,"Livraison à Beni: 145 colis kit PCI et 1.695 kg kit PEC."
Ituri,04-07-2026,"Livraison d'un kit de réanimation et médicaments au CTE CME. Livraison d'intrants PCI, PEC et surveillance à Nyankunde et Rwampara. Livraison d'intrants PCI au pilier Sûreté et Sécurité. Réception d'un cargo d'intrants PCI, surveillance et réactifs de laboratoire (OMS). 60 litres de carburant. Poursuite des travaux: extension CTE Mongbwalu (+50 lits), construction de 60 lits à HGR Bunia, aménagement CTE Elikya."
Ituri,07-07-2026,"25 véhicules et 4 ambulances déployés. Livraison d'intrants aux piliers CREC, PCI, CTE et zones de santé."
Nord-Kivu,07-07-2026,"Livraison d'intrants PCI au pilier EDS (100 combinaisons Tyvek, 50 flacons gel hydro-alcoolique, 10 boîtes de masques, 100 écrans faciaux, 1 sac savon OMO, 10 tabliers réutilisables, 20 boîtes de gants d'examen, 5 complets de tunique). Livraison d'intrants EDS à Mabalako (15 sacs mortuaires adultes, 54 flacons gel hydro-alcoolique, 5 sacs mortuaires enfants)."
Ituri,09-07-2026,"Remise de 2 motos (don Gouvernement) à Nyankunde. Déploiement de 2 véhicules pour les équipes EDS à Lita. 25 véhicules et 5 ambulances déployés."
Nord-Kivu,09-07-2026,"Livraison d'intrants PCI aux équipes EDS (gel hydroalcoolique, sacs mortuaires, Tyvek, lunettes, EPI, kits PPL, désinfectant, savon). Briefing sur la gestion des stocks humanitaires. Suivi réparation véhicule mobile 103 à Mutsora. 4/11 ZS ont transmis leurs données logistiques. 50 motos et 6 véhicules fonctionnels rapportés. Aucune ambulance/corbillard fonctionnel rapporté."
Ituri,10-07-2026,"Réception de 200 poches de sang du Programme national de transfusion sanguine. Livraison d'intrants PCI/EDS à Lita, Ariwara, Logo, Mongbwalu, Mangala et CTE HGR Bunia. 25 véhicules et 5 ambulances déployés. 295 litres de carburant distribués."
Nord-Kivu,10-07-2026,"Déballage et distribution d'intrants et médicaments (UNICEF, UG-PDSS). Livraison d'intrants PCI/EDS à Mabalako, Masereka, Kalunguta, Katwa et INRB. Réception de 1.800 litres de gasoil (360 litres à l'INRB). Déploiement d'une tente à Katwa. Livraison de 42 motos CREC/surveillance communautaire : Beni (8), Kalunguta (4), Oicha (4), Mabalako (2), Butembo (8), Katwa (9), Musienene (4), Kyondo (2), Masereka (1)."
Ituri,11-07-2026,"Réception de 18 motos (don UNICEF) pour renforcer la mobilité des acteurs communautaires dans les ZS à haut risque. Livraison d'intrants PCI, Surveillance et PECH à Mangala, Lita et CTE Sota. Réception de 10 tonnes d'intrants PCI et PECH (appui OMS). 25 véhicules et 5 ambulances déployés. 200 litres de carburant distribués."
Nord-Kivu,11-07-2026,"Déploiement des équipes des piliers dans les ZS. Tenue de la réunion de la section. Colisage de kits PCI et médicaments pour la prise en charge à l'Hôpital de Mambangu. Poursuite du déballage des médicaments UNICEF. Suivi de la réparation du véhicule mobile 103 à Mutsora."
Ituri,19-07-2026,"Restitution de la séance d'estimation des besoins en intrants PCI, PEC et EDS. Planification du soutien logistique aux piliers. Suivi des infrastructures."
Nord-Kivu,19-07-2026,"Livraison d'intrants à Musienene. Finalisation du colisage des intrants UNICEF pour Katwa, Butembo, Musienene et Beni."
