nom,date,provincial_management_fr
Ituri,05-06-2026,"Les patients alités à J-1 étaient au nombre de 236. Il y a eu 37 admissions en 24 heures. Les sorties comprenaient 7 décès, 5 non-cas/guéris et 10 évasions. Les patients en isolement en fin de journée étaient au nombre de 251 (83 confirmés, 168 suspectés)."
North-Kivu,05-06-2026,"Les patients alités à J-1 étaient au nombre de 8. Il y a eu 7 admissions en 24 heures. Il n’y a eu aucune sortie (0 décès, 0 non-cas/guéris, 0 évasion). Les patients en isolement en fin de journée étaient au nombre de 9 (5 confirmés, 4 suspectés)."
South-Kivu,05-06-2026,"Les patients alités à J-1 étaient au nombre de 7. Il y a eu 0 admission en 24 heures. Il n’y a eu aucune sortie (0 décès, 0 non-cas/guéris, 0 évasion). Les patients en isolement en fin de journée étaient au nombre de 7 (1 confirmé, 6 suspectés)."
Ituri,06-06-2026,"257 départs, +29 admissions, –26 sorties (7 décès, 13 récupérés, 6 évasions) = 260 (99 confirmés, 161 suspectés). SMSPS : nouveaux confirmés 6 (22,2 %), sous suivi 16 (20,0 %) ; nouveaux suspects 9 (31,0%), sous suivi 18 (13,6%). 43 résultats (14 positifs, 32,6%). Egalement : 9 enfants séparés, 40 accompagnateurs CTE, 15 PPL, 40 ménages."
North-Kivu,06-06-2026,
South-Kivu,06-06-2026,"Début 7 → 7 isolés (1 confirmé, 6 suspectés). MHPSS : F/U confirmé 3 (100 %), F/U suspecté 3 (100 %), enfants séparés (crèche 3), CTE 6, PPL 6, ménages 4, kits dignité 1. Supplémentaire : F/U confirmé 3 (100 %), F/U suspecté 878 (100 %), enfants séparés (crèche 1), soignants ETC 12, ménages 70."
Ituri,08-06-2026,"13 décès, 5 non-cas d'enfants d'orphelinats, 3 guérisons (cumul 22) ; recensement 286→266 (106 confirmés, 160 suspectés) avec +27 admissions, –47 sorties ; SMSPS : confirmé 9,7%/31,3%, suspecté 18,5%/24,1%, crèche 100%, 7 CTE, 14 PPL ; laboratoire : 110 résultats (4 positifs, 36,4%)."
North-Kivu,08-06-2026,"Début : 17 patients, +7 admissions, 0 sortie → 24 isolés (6 confirmés, 18 suspectés). SMSPS : confirmé au suivi 6 (100 %), suspecté au suivi 28 (100 %). Lab : 5 résultats annoncés. Également : 10 compagnons ETC et 16 PPL ont reçu des interventions SMSPS."
South-Kivu,08-06-2026,"Les patients alités à J-1 étaient au nombre de 7, avec 0 admission et aucune sortie (0 décès, 0 non-cas/guéris, 0 évasion, 0 transféré), se terminant par 7 patients en isolement (1 confirmé, 6 suspectés). Les interventions SMSPS ont atteint 100 % des nouveaux cas confirmés (1), 100 % des cas confirmés sous suivi (5) et 100 % des enfants séparés en crèche (4)."
Ituri,09-06-2026,"Il y a eu 31 admissions. Au total, 7 décès, 22 guérisons et 9 évasions. Au total, 237 patients étaient en isolement (111 confirmés, 126 suspectés). Le taux d'occupation était de 75,2%."
North-Kivu,09-06-2026,"Au total, 17 patients étaient en isolement (5 confirmés, 12 suspects). Le taux d'occupation était de 23,9%."
South-Kivu,09-06-2026,"Au total, 6 patients étaient en isolement (1 confirmé, 5 suspectés). Le taux d'occupation était de 42,8%."
Ituri,11-06-2026,"Admissions : 47. Décès : 7, Récupérations/Non-cas : 7, Evasions : 4, Transferts : 4. En isolement : 272 (131 confirmés, 141 suspectés). Taux d'occupation : 77,9%. 25 % des nouveaux cas confirmés, 38,2 % des cas confirmés sous suivi, 14,9 % des nouveaux cas suspects et 12,8 % des cas suspects sous suivi ont reçu une SMSPS. 120 résultats annoncés (50 positifs). 14 enfants en crèche (100%), 16 enfants en communauté ont bénéficié de SMSPS."
North-Kivu,11-06-2026,"Admissions : 18. Décès : 0, Récupérations/Non-cas : 0, Evasions : 0, Transferts : 0. En isolement : 31 (6 confirmés, 25 suspectés). Taux d'occupation : 43,7%. 60 % confirmés sous suivi, 100 % de nouveaux suspects, 90,9 % suspectés sous suivi ont reçu la SMSPS."
South-Kivu,11-06-2026,"Admissions : 10. Décès : 0, Récupérations/Non-cas : 5, Evasions : 0, Transferts : 0. En isolement : 12 (1 confirmé, 11 suspecté). Taux d'occupation : 37,5%. 100 % des cas confirmés et suspectés lors du suivi ont reçu une SMSPS."
Ituri,15-06-2026,"Admissions : 47. Décès : 14, Non-cas : 17, Récupérations : 6, Evasions : 6. En isolement : 321 (152 confirmés, 169 suspectés). Taux d'occupation : 97,3%. 10 % des nouveaux cas confirmés, 40,2 % des cas confirmés sous suivi, 42,6 % des nouveaux cas suspects, 43,5 % des cas suspects sous suivi ont reçu une SMSPS. 132 résultats annoncés (31 positifs). 1 enfant en crèche (100%) a bénéficié de SMSPS. 36 compagnons CTE, 91 PPL, 101 ménages/communautés, 30 SDB appuyés."
