"nom","pop_count"
"Aketi","188784.97504507"
"Ango","161062.516953773"
"Bili (Bas-Uele)","63455.8941055952"
"Bondo","287099.395830722"
"Buta","274964.429555477"
"Ganga","235400.828349594"
"Likati","143525.535225582"
"Monga","129644.571066835"
"Poko","222566.327788375"
"Titule","75789.7317617116"
"Viadana","187873.133453346"
"Aba","209106.319414451"
"Boma Mangbetu","230103.99410288"
"Doruma","73599.9240577904"
"Dungu","307762.687829134"
"Faradje","189406.297303139"
"Gombari","122901.364838492"
"Isiro","512401.445787204"
"Niangara","183370.426719655"
"Pawa","301767.649654037"
"Rungu","194803.54298391"
"Wamba","224757.043756204"
"Makoro","219858.203470129"
"Watsa","491575.127054141"
"Basankusu","223731.320368874"
"Bikoro","170290.257964631"
"Bolenge","78746.8993223592"
"Bolomba","243797.698828819"
"Bomongo","113867.068999355"
"Djombo","88330.1152118235"
"Iboko","108509.869170162"
"Ingende","159495.15201905"
"Irebu","30968.5390218537"
"Lilanga Bobangi","31952.2150468744"
"Lotumbe","88960.0575380153"
"Lukolela","184756.830997696"
"Makanza","126091.882377951"
"Mampoko","57676.088563158"
"Mbandaka","245944.726641186"
"Monieka","60523.3298646003"
"Ntondo","62453.0409071572"
"Wangata","219612.114638122"
"Kambove","240169.132512189"
"Kapolowe","254178.079614143"
"Kikula","124013.591285665"
"Kilela Balanda","67568.3924639751"
"Likasi","187272.89816674"
"Mitwaba","86370.7218556452"
"Mufunga Sampwe","142466.418778593"
"Panda","112913.035158385"
"Kafubu","160468.759895723"
"Kamalondo","17360.9222014527"
"Kampemba","330311.67598403"
"Kasenga","178958.745641778"
"Kashobwe","68880.8527055296"
"Katuba","76686.3051602902"
"Kenya","119969.745318355"
"Kilwa","251857.998062777"
"Kipushi","226623.577738265"
"Kisanga","272723.61935739"
"Kowe","15614.1417429147"
"Lubumbashi","466505.106652696"
"Lukafu","120570.48904195"
"Mumbunda","460166.683389089"
"Pweto","141814.693708133"
"Ruashi","297848.051975673"
"Sakania","355618.815945295"
"Tshamilemba","195069.44368826"
"Vangu","42800.3158621834"
"Bukama","280613.67678199"
"Butumba","90505.5091986268"
"Kabondo Dianda","232868.69517815"
"Kinkondja","154260.386709989"
"Lwamba","124159.692817295"
"Malemba Nkulu","324230.955366096"
"Mukanga","197394.463673508"
"Mulongo","206004.631700721"
"Baka","42765.1053975512"
"Kabongo","367137.281139649"
"Kamina","394456.225354607"
"Kaniama","276952.984945556"
"Kayamba","81853.0566826023"
"Kinda","55735.2086415003"
"Kitenge","268573.477874139"
"Songa","115438.764084538"
"Adi","285382.989763905"
"Adja","126933.085370457"
"Angumu","103692.775872387"
"Ariwara","314729.737565156"
"Aru","329667.250619862"
"Aungba","216786.701892523"
"Biringi","182556.468725981"
"Kambala","140955.530533726"
"Laybo","193238.134637007"
"Logo","216944.000624231"
"Mahagi","247892.507379202"
"Nyarambe","273930.693069733"
"Rimba","222281.837981453"
"Bambu","136150.702150578"
