dataset,file,resolution,n_rows,n_cols,square,date_range,n_zones_covered,checked_at
IDP,idp__individuals__monthly.matrix.csv,monthly,4004,44,,2016-02-01..2025-12-01,44,2026-08-12T10:15:18+00:00
IDP,idp__individuals__static.matrix.csv,static,44,44,True,,44,2026-08-12T10:15:18+00:00
IDP,idp__individuals__weekly.matrix.csv,weekly,12584,44,,2016-02-15..2025-12-22,44,2026-08-12T10:15:18+00:00
flowminder,flowminder__inflow_202604__static.matrix.csv,static,467,467,True,,467,2026-08-12T10:15:18+00:00
flowminder,flowminder__inflow__static.matrix.csv,static,437,437,True,,437,2026-08-12T10:15:18+00:00
flowminder,flowminder__outflow_202604__static.matrix.csv,static,467,467,True,,467,2026-08-12T10:15:18+00:00
flowminder,flowminder__outflow__static.matrix.csv,static,437,437,True,,437,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static.matrix.csv,static,4,428,False,,4,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static.matrix.csv,static,4,428,False,,4,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_followup_20260608__static.matrix.csv,static,3,429,False,,3,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_prior_20260503__static.matrix.csv,static,3,429,False,,3,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260430__static.matrix.csv,static,3,130,False,,3,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260507__static.matrix.csv,static,3,130,False,,3,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260514__static.matrix.csv,static,3,130,False,,3,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260521__static.matrix.csv,static,3,130,False,,3,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260524__static.matrix.csv,static,3,130,False,,3,2026-08-12T10:15:18+00:00
osrm,osrm__road_distance__static.matrix.csv,static,519,519,True,,519,2026-08-12T10:15:18+00:00
osrm,osrm__travel_time__static.matrix.csv,static,519,519,True,,519,2026-08-12T10:15:18+00:00
