dataset,file,type,status,n_rows,n_zones_covered,reasons,checked_at
ACLED_conflict,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
ACLED_conflict,processed/,structure,warn,,,no processed/ directory,2026-08-12T10:15:18+00:00
IDP,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
IDP,idp__individuals__monthly.matrix.csv,matrix,pass,4004,44,,2026-08-12T10:15:18+00:00
IDP,idp__individuals__static.matrix.csv,matrix,pass,44,44,,2026-08-12T10:15:18+00:00
IDP,idp__individuals__weekly.matrix.csv,matrix,pass,12584,44,,2026-08-12T10:15:18+00:00
aggregated_insp_linelist,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
aggregated_insp_linelist,aggregated_insp_linelist__national_confirmed_cases_onset__daily.csv,vector,pass,1,0,,2026-08-12T10:15:18+00:00
aggregated_insp_linelist,aggregated_insp_linelist__provincial_confirmed_cases_onset__daily.csv,vector,pass,1,0,,2026-08-12T10:15:18+00:00
archive,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
archive,processed/,structure,warn,,,no processed/ directory,2026-08-12T10:15:18+00:00
ccvi,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
ccvi,ccvi__socioeconomic_deprivation__static.csv,vector,pass,519,519,,2026-08-12T10:15:18+00:00
ccvi,ccvi__socioeconomic_inequality__static.csv,vector,pass,519,519,,2026-08-12T10:15:18+00:00
cross-border-movements,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
cross-border-movements,cross_border__poe_passengers__static.csv,vector,pass,7,7,,2026-08-12T10:15:18+00:00
epi,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
epi,epi__cases__weekly.csv,vector,pass,7,7,,2026-08-12T10:15:18+00:00
epi_mve_inrb_app,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
epi_mve_inrb_app,epi_mve_inrb_app__recorded_cases__daily.csv,vector,pass,5,2,,2026-08-12T10:15:18+00:00
fao_lccs,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
fao_lccs,fao_lccs__urban_fraction__static.csv,vector,pass,519,519,,2026-08-12T10:15:18+00:00
flowminder,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
flowminder,flowminder__inflow_202604__static.matrix.csv,matrix,warn,467,467,57339 missing cells (empty/NA) (warn),2026-08-12T10:15:18+00:00
flowminder,flowminder__inflow__static.matrix.csv,matrix,pass,437,437,,2026-08-12T10:15:18+00:00
flowminder,flowminder__outflow_202604__static.matrix.csv,matrix,warn,467,467,57339 missing cells (empty/NA) (warn),2026-08-12T10:15:18+00:00
flowminder,flowminder__outflow__static.matrix.csv,matrix,pass,437,437,,2026-08-12T10:15:18+00:00
flowminder_short_trips,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static.csv,vector,pass,428,428,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static.matrix.csv,matrix,pass,4,4,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static.csv,vector,pass,428,428,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static.matrix.csv,matrix,pass,4,4,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_followup_20260608__static.csv,vector,pass,429,429,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_followup_20260608__static.matrix.csv,matrix,pass,3,3,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_prior_20260503__static.csv,vector,pass,429,429,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_prior_20260503__static.matrix.csv,matrix,pass,3,3,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260430__static.csv,vector,pass,130,130,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260430__static.matrix.csv,matrix,pass,3,3,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260507__static.csv,vector,pass,130,130,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260507__static.matrix.csv,matrix,pass,3,3,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260514__static.csv,vector,pass,130,130,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260514__static.matrix.csv,matrix,pass,3,3,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260521__static.csv,vector,pass,130,130,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260521__static.matrix.csv,matrix,pass,3,3,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260524__static.csv,vector,pass,130,130,,2026-08-12T10:15:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260524__static.matrix.csv,matrix,pass,3,3,,2026-08-12T10:15:18+00:00
gdp_pc,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
gdp_pc,gdp_pc__gdp_pc__static.csv,vector,pass,519,519,,2026-08-12T10:15:18+00:00
genomic_surveillance,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
genomic_surveillance,genomic_surveillance__sequence_count__static.csv,vector,pass,16,16,,2026-08-12T10:15:18+00:00
grid3_healthsites,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
grid3_healthsites,grid3_healthsites__healthsite_count__static.csv,vector,pass,519,519,,2026-08-12T10:15:18+00:00
grid3_healthsites,grid3_healthsites__healthsite_density__static.csv,vector,pass,519,519,,2026-08-12T10:15:18+00:00
healthsites_io,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
