Bunia,2026-05-20,ND
Rwampara,2026-05-20,ND
Mongbwalu,2026-05-20,ND
Nyankunde,2026-05-20,ND
Bunia,2026-05-21,ND
Rwampara,2026-05-21,ND
Mongbwalu,2026-05-21,ND
Nyankunde,2026-05-21,ND
Bunia,2026-05-22,33
Rwampara,2026-05-22,34
Mongbwalu,2026-05-22,30
Nyankunde,2026-05-22,22
Bunia,2026-05-23,41
Rwampara,2026-05-23,21
Mongbwalu,2026-05-23,28
Nyankunde,2026-05-23,26
Aru,2026-05-23,2
Bunia,2026-05-24,44
Rwampara,2026-05-24,19
Mongbwalu,2026-05-24,13
Nyankunde,2026-05-24,33
Aru,2026-05-24,2
Bambu,2026-05-24,2
Bunia,2026-05-29,18
Rwampara,2026-05-29,9
Mongbwalu,2026-05-29,12
Nyankunde,2026-05-29,38
Bambu,2026-05-29,12
Aru,2026-05-29,2
Bunia,2026-05-30,17
Rwampara,2026-05-30,14
Mongbwalu,2026-05-30,11
Nyankunde,2026-05-30,41
Bambu,2026-05-30,5
Aru,2026-05-30,5
