Bunia,30-05-2026,Livraison de 5 tonnes de médicaments (support UG-PDSS). Livraison des filets de démarcation à Bunia CME.
Rwampara,31-05-2026,"Inauguration et mise en service de l'ETC standardisé au CME Rwampara, nouvellement réhabilité."
Bunia,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde.
Rwampara,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde. Livraison de médicaments et d’intrants IPC avec le soutien de l’UG-PDSS.
Mongbalu,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde. Livraison d’intrants de prévention et de contrôle IPC à ces zones de santé.
Bambu,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde.
Aru,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde.
Kilo,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde.
Nizi,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde.
Mangala,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde.
Damas,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde.
Aungba,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde.
Gety,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde.
Komanda,02-06-2026,Remise officielle de 3 véhicules (don du gouvernement) par le Gouverneur de la province de l'Ituri au CDPS Ituri. Deux véhicules immédiatement affectés aux zones de santé de Rwampara et Nyankunde.
