Ituri,17-05-2026,Une première sensibilisation des chefs communautaires et religieux a été menée pour contrer les rumeurs d'une « maladie mystique ». Une ébauche du message du gouverneur militaire sur la prévention de la MVE est en cours d'élaboration. Des messages éducatifs sur la prévention des maladies ont été élaborés par public cible.
Ituri,19-05-2026,"56 patients tuberculeux et 26 membres du CAC ont été sensibilisés aux visites à domicile. Le message du gouverneur sur la MVE a été diffusé à la radio, dans les écoles et sur les réseaux sociaux. Le plaidoyer auprès des responsables provinciaux, de l'EPST, de la Jeunesse, du Genre et des guérisseurs traditionnels visait à mettre fin aux expulsions scolaires liées aux masques et à mobiliser les jeunes/femmes. Le numéro gratuit 0821419595 a été promu."
Ituri,20-05-2026,"Un plan de communication et deux messages officiels sont en cours. Les responsables provinciaux et PRESICODESA ont été informés du CBS, du RCCE, des alertes et des commentaires. La première réunion d'analyse des rumeurs a eu lieu. Le plaidoyer a obtenu l'interdiction des veillées funéraires, renforcé la politique anti-expulsion des écoles et engagé le commandant de la RVA."
Ituri,22-05-2026,"Le plaidoyer a obtenu le soutien des maires de trois communes. Dix-neuf chefs d'aéroport (15M, 4F) ont été informés sur la prévention de la MVE. La sensibilisation a touché 38 éleveurs (16F, 22M) et 30 femmes lors d'une séance CPS."
North-Kivu,05-06-2026,"Au total, 19 832 personnes ont été sensibilisées. 3 221 ménages ont été visités grâce à l'implication de 658 agents de santé communautaire (RECO). 813 leaders communautaires ont été engagés. 46 alertes communautaires ont été signalées et 1 rumeur a été clarifiée. 18 radios locales ont été mobilisées, avec 3 formats produits et diffusés."
South-Kivu,05-06-2026,"Une sensibilisation de masse a touché 405 étudiants de dernière année de l'ENAFEP à Kabunga sur la prévention et les signes de la MVE. Une réunion de plaidoyer dans le village de Kahungu (épicentre de la MVE) a réuni 40 jeunes, femmes, responsables scolaires et religieux. Au total, 6 961 personnes ont été sensibilisées et 1 567 ménages visités."
Ituri,05-06-2026,La sensibilisation a touché 45 opérateurs économiques (FEC dont 12 femmes) sur la prévention de la MVE au travail et à domicile. Le soutien à l’admission des patients à l’ETC de Nyankunde n’a rencontré aucune résistance à l’isolement. Le personnel des FARDC du secteur opérationnel TSERE a été sensibilisé lors du défilé matinal.
North-Kivu,06-06-2026,"Dix-neuf dirigeants communautaires et membres de CODESA ont été informés de l’appropriation de la CBS et de la MVE ; les responsables des zones de santé ont reçu des briefings RCCE. Sept conférences ont touché 361 personnes (175F, 186M) issues de mutuelles, de jeunes, de motocyclistes et de groupes de prière dans quatre zones de santé. Les visites à domicile ont sensibilisé 2 454 personnes (1 232 M, 1 222 F)."
South-Kivu,06-06-2026,Une sensibilisation massive de 78 personnes (dont 46 femmes) a été menée au marché de Katana sur les mesures de prévention et la signalisation de la MVE. Une conférence pédagogique a eu lieu avec 19 chauffeurs de moto-taxi au centre de Kavumu. L'harmonisation du module de briefing communautaire-relais a eu lieu.
Ituri,06-06-2026,"Quarante-deux femmes de trois communes de Bunia ont été informées sur la prévention de la MVE, la PCI, le lavage des mains et les enterrements en toute sécurité. Les commentaires de la communauté ont cité des enterrements tardifs et sécurisés, une mauvaise gestion des alertes, des équipes de décontamination insuffisantes et des soins inadéquats (en particulier la nutrition) provoquant des évasions. Sept sensibilisations de masse dans sept zones de santé ont touché 1 210 personnes."
North-Kivu,07-06-2026,"À Goma, 255 acteurs communautaires ont été formés à la communication sur les risques, à l'engagement, à la surveillance et à la gestion des rumeurs ; sept rumeurs ont été clarifiées. Les commentaires portaient sur l'existence, l'origine, les masques, les vaccins et les ETC de la MVE. En outre, 45 dirigeants de base et 78 dirigeants communautaires (45M, 33F) ont reçu des séances d'information sur la MVE et des alertes."
South-Kivu,07-06-2026,"Le plaidoyer a mobilisé 40 dirigeants de six zones de santé des zones de santé de Katana et Miti-Murhesa pour soutenir la réponse à la MVE. Un soutien a été fourni pour informer 150 relais communautaires sur le paquet MVE, les techniques de communication et les interventions du CREC pour briser les chaînes de transmission. Au total, 7 alertes ont été levées : 4 dans la ZS de Miti-Murhesa et 3 dans la ZS de Katana (dont 1 décès)."
