North Kivu,21-05-2026,"Decontamination was carried out at Matanda Hospital after a confirmed case from Katwa was identified there. An IPC scorecard assessment gave the hospital a score of 70.6%. Case mapping was performed, and a review of the ETC situation identified IPC supply needs, including PPE, water supply, waste management, and patient circuit organization."
Ituri,05-06-2026,"Fifteen healthcare providers (4 facilities) were briefed on standard precautions, waste management, and handwashing; 14 others (4 facilities) on handwashing, biocleaning, and waste management. Decontamination was done at Saint-Nicolas orphanage, followed by a ring opening covering 3 health facilities, 13 churches, and 433 households."
North-Kivu,05-06-2026,"IPC scorecards in five facilities averaged 40%. Twenty-eight providers there (plus five in another zone) received IPC briefings. One safe burial was done. Decontamination covered two facilities and one household. IPC-WASH committees were revitalized in five facilities, and triage/isolation circuits reorganized in two health centres."
South-Kivu,05-06-2026,"A scorecard assessment of two health facilities in one health zone showed scores of 42% and 35.5%, with improvement plans developed. IPC supplies were provided, including 100 handwashing kits (40 to health facilities, 60 distributed in the community). Forty decontamination kits were deployed across two health zones."
North-Kivu,22-05-2026,"Decontamination was conducted at Matanda Hospital where a confirmed case from Katwa was staying. An IPC scorecard assessment of Matanda Hospital showed a score of 70.6%. Case mapping was performed. A review of the ETC situation was conducted to identify IPC supply needs, including PPE, water supply, waste management, and patient circuit."
Ituri,06-06-2026,"6 of 15 safe burials done. 23 providers from 6 facilities briefed on EVD basics, biocleaning, standard precautions. One zone: 10 trained on PPE/waste; home decontaminated; 3 safe burials on 5 alerts (2 postponed). Another zone: 8 safe burials on 9 alerts; 7 facilities decontaminated; 33 briefed on handwashing/waste management."
North-Kivu,06-06-2026,"Risk assessment at CH Saint Joseph (Rughenda). IPC scores: Clinique La Vie des Hommes 27.5%, Nya Kalunga Makuha 22.5%, Vuhika 51.1%, Masuli 46.5% (avg 36.9%). Decontamination performed on 2 of 6 Horizon university clinics premises linked to two positive providers."
South-Kivu,06-06-2026,"Supported RIT for Nyangezi investigation. Two facility scorecards: 38% and 43%; improvement plans developed. Supported ICU decontamination at a general hospital. Distributed 100 handwashing kits (40 facilities, 60 community) and 40 decontamination kits across two health zones."
Ituri,07-06-2026,"IPC scores 5–67.7% across 8 facilities. Trained 2 burial teams (24 providers). Elsewhere: briefings, 3 rings, decontaminated 1 facility + 3 homes, provided handwashing gear. Another zone: briefings, 30 ring homes. Another: 12 briefed, 6 homes cleaned. Another: 6 safe burials (8 alerts, 2 ongoing) + 6 decontaminations."
North-Kivu,07-06-2026,Follow-up and accompaniment were conducted at three health centres in one health zone. Training of 45 health providers was closed at the ETC in the same health zone. Decontamination was carried out on 4 out of 6 premises of university clinics in another health zone around two confirmed cases.
South-Kivu,07-06-2026,"A body was secured in intensive care at a general referral hospital. Support was provided for decontamination of a primary school, and 4 people were mentored on preparing 0.05% and 0.5% chlorinated solutions. A briefing was held for 208 people from 6 health areas across two health zones on decontamination, safe and dignified burials, and respect for barrier measures."
Ituri,08-06-2026,"IPC scorecards: 19 facilities (one 38.7%), 2 facilities (11%, 12%), and 16 facilities (all <50%). Training started for 50 providers from 16 facilities on IPC. Rings opened around confirmed cases in 3 zones with site decontamination. Providers briefed on waste management, hand hygiene, biocleaning, PPE, and EVD basics; surface technicians briefed on EVD and standard IPC."
