Ituri,17/05/2026,"Official notification of the alert occurred on 8 May 2026 following rumours of grouped deaths. The epidemiological situation and line lists of suspected and probable cases were updated. Sample collection, analysis, and shipment to INRB were carried out."
Ituri,18/05/2026,"rveillance teams were briefed on alerts, investigations, active case search, contact listing, and follow-up. The PoE/PoC team was briefed on mapping of their sites. The surveillance pillar was organised, including identification of focal points per health zone and definition of roles and responsibilities. Surveillance teams were deployed in three epidemic health zones."
Ituri,19/05/2026,"Confirmed case mapping was done in two health zones, active case search in four, and EVD alert investigations in eight. At PoE Ofoo (Aru HZ), a traveler from Bukavu via Kigali and Uganda heading to Durba was identified. At PoE Kasenyi (Tchomia HZ), a dead body from Kampala, Uganda, bound for Bunia city was identified."
Nord-Kivu,20/05/2026,Supported two health zones with investigation and contact listing around confirmed cases. Set up an alert management system and promoted the civil-protection hotline. Began contact follow-up around one confirmed case. Conducted investigations and contact listing around four confirmed cases in North Kivu.
Ituri,22/05/2026,"Terms of Reference for deployment of provincial multidisciplinary teams in one health zone were transmitted to coordination. Terms of Reference for training of actors (ECZS, IT & ITA, community agent leads, data managers) in 5 active health zones were transmitted to coordination. Thermo-flash were provided in another health zone (4 units)."
Ituri,21/05/2026,"Draft Terms of Reference were developed for deployment of provincial multidisciplinary teams in one health zone. Draft TOR were also developed for training of actors (ECZS, IT & ITA, community agent leads, data managers) in 5 active health zones. Thermo-flash were provided in two health zones for contact follow-up (12 and 11 units respectively)."
Ituri,05/06/2026,"Routine surveillance conducted. In-depth investigations around confirmed cases in 3 health zones. 97 alerts raised, 100% investigated, 72 validated (74.2%). Contact tracing: 4,281 contacts under follow-up, 2,701 seen (63.1%), up from 54.6% the previous day."
Nord-Kivu,05/06/2026,"A total of 340 alerts were raised, all 340 were investigated (100%), and 40 were validated (11.8%). For contact tracing, 689 contacts were under follow-up, with 578 seen (83.9%), representing an improvement compared to the previous day (72.0%)."
Sud-Kivu,05/06/2026,"A total of 8 alerts were raised, all 8 were investigated (100%), and 7 were validated (87.5%). For contact tracing, 187 contacts were under follow-up, with 184 seen (98.4%)."
Nord-Kivu,07/06/2026,"A total of 290 alerts were raised, all 290 were investigated (100.0%). Validated cases included 34 living and 1 deceased, for a total of 59 suspected cases. Contacts under follow-up numbered 738, with 587 seen, for a follow-up rate of 79.5%."
