nom,date,national_cumulative_confirmed_cases,national_cumulative_confirmed_deaths,cfr
DRC,2026-05-14,8,4,50.0
DRC,2026-05-17,13,4,30.76923076923077
DRC,2026-05-18,33,4,12.121212121212121
DRC,2026-05-19,51,4,7.8431372549019605
DRC,2026-05-20,64,6,9.375
DRC,2026-05-21,83,9,10.843373493975903
DRC,2026-05-22,91,10,10.989010989010989
DRC,2026-05-23,101,10,9.900990099009901
DRC,2026-05-24,105,10,9.523809523809524
DRC,2026-05-25,106,12,11.320754716981133
DRC,2026-05-26,121,17,14.049586776859504
DRC,2026-05-27,125,17,13.600000000000001
DRC,2026-05-28,210,17,8.095238095238095
DRC,2026-05-29,263,42,15.96958174904943
DRC,2026-05-30,282,42,14.893617021276595
DRC,2026-05-31,321,48,14.953271028037381
DRC,2026-06-01,344,60,17.441860465116278
DRC,2026-06-02,363,62,17.079889807162534
DRC,2026-06-03,381,64,16.79790026246719
DRC,2026-06-04,452,82,18.141592920353983
DRC,2026-06-05,488,86,17.62295081967213
DRC,2026-06-06,515,91,17.66990291262136
DRC,2026-06-07,550,101,18.363636363636363
DRC,2026-06-08,598,115,19.230769230769234
DRC,2026-06-09,635,127,20.0
DRC,2026-06-10,676,136,20.118343195266274
DRC,2026-06-11,689,139,20.174165457184326
DRC,2026-06-13,782,181,23.145780051150894
DRC,2026-06-14,808,192,23.762376237623762
DRC,2026-06-15,837,196,23.416965352449225
DRC,2026-06-16,875,202,23.085714285714285
DRC,2026-06-17,896,232,25.892857142857146
DRC,2026-06-18,933,245,26.259378349410508
DRC,2026-06-19,956,247,25.83682008368201
DRC,2026-06-20,1003,254,25.324027916251246
DRC,2026-06-21,1048,267,25.47709923664122
DRC,2026-06-22,1094,277,25.3199268738574
DRC,2026-06-23,1118,291,26.028622540250446
DRC,2026-06-24,1155,304,26.32034632034632
DRC,2026-06-25,1203,321,26.683291770573565
DRC,2026-06-27,1274,360,28.257456828885402
DRC,2026-06-29,1333,399,29.932483120780194
DRC,2026-06-30,1406,438,31.152204836415365
DRC,2026-07-01,1460,452,30.958904109589042
DRC,2026-07-02,1502,473,31.491344873501998
DRC,2026-07-03,1528,492,32.19895287958115
DRC,2026-07-04,1561,506,32.41511851377322
DRC,2026-07-05,1624,521,32.08128078817734
DRC,2026-07-06,1708,580,33.957845433255265
DRC,2026-07-07,1759,600,34.110289937464465
DRC,2026-07-08,1792,625,34.877232142857146
DRC,2026-07-09,1830,648,35.40983606557377
DRC,2026-07-10,1873,672,35.87827015483182
DRC,2026-07-11,1926,702,36.44859813084112
DRC,2026-07-13,2011,754,37.49378418697166
DRC,2026-07-15,2124,828,38.983050847457626
DRC,2026-07-17,2267,893,39.391265990295544
DRC,2026-07-18,2344,930,39.67576791808874
DRC,2026-07-19,2423,967,39.909203466776724
DRC,2026-07-20,2473,999,40.39627982207845
DRC,2026-07-22,2905,1269,43.68330464716007
DRC,2026-07-23,2973,1309,44.02959973091154
DRC,2026-07-25,3200,1405,43.90625
DRC,2026-07-26,3262,1437,44.05272838749234
DRC,2026-07-27,3360,1487,44.25595238095238
DRC,2026-07-30,3605,1587,44.02219140083218
DRC,2026-07-31,3674,1621,44.12084921066957
DRC,2026-08-01,3748,1657,44.2102454642476
DRC,2026-08-02,3802,1707,44.89742240925828
DRC,2026-08-03,3874,1751,45.19876097057305
DRC,2026-08-04,3973,1801,45.330984142965015
DRC,2026-08-08,4209,1916,45.521501544309814
DRC,2026-08-09,4381,2011,45.9027619265008
DRC,2026-08-10,4449,2061,46.32501685772083
