nom,date,cumulative_confirmed_cases,nom_clean,new_cases,rt_proxy,cumulative_confirmed_deaths,days_since_first_case,rolling_7d_new_cases,days_since_last_case,population_density,population_density_was_missing,label_next_7d_onset,has_full_future_window
Mongbwalu,2026-05-14,0.0,Mongbwalu,0.0,,,0,0.0,0.0,49.26880991961,0,1,True
Rwampara,2026-05-15,13.0,Rwampara,0.0,,,0,0.0,0.0,378.392262151519,0,1,True
Bunia,2026-05-15,0.0,Bunia,0.0,,,0,0.0,0.0,4336.1457340514,0,1,True
Mongbwalu,2026-05-15,0.0,Mongbwalu,0.0,,,1,0.0,1.0,49.26880991961,0,1,True
Rwampara,2026-05-18,19.0,Rwampara,6.0,,,3,6.0,3.0,378.392262151519,0,1,True
Goma,2026-05-18,1.0,Goma,0.0,,,0,0.0,0.0,8413.39578071933,0,0,True
Mongbwalu,2026-05-18,1.0,Mongbwalu,1.0,,,4,1.0,4.0,49.26880991961,0,1,True
Butembo,2026-05-18,1.0,Butembo,0.0,,,0,0.0,0.0,3648.62216219997,0,1,True
Nyankunde,2026-05-18,4.0,Nyankunde,0.0,,,0,0.0,0.0,100.872453475923,0,1,True
Bunia,2026-05-18,6.0,Bunia,6.0,,,3,6.0,3.0,4336.1457340514,0,1,True
Katwa,2026-05-18,1.0,Katwa,0.0,,,0,0.0,0.0,7809.37779884317,0,1,True
Mongbwalu,2026-05-19,13.0,Mongbwalu,12.0,,0.0,5,13.0,1.0,49.26880991961,0,1,True
Butembo,2026-05-19,1.0,Butembo,0.0,,,1,0.0,1.0,3648.62216219997,0,1,True
Nyankunde,2026-05-19,4.0,Nyankunde,0.0,,0.0,1,0.0,1.0,100.872453475923,0,1,True
Rwampara,2026-05-19,25.0,Rwampara,6.0,,0.0,4,12.0,1.0,378.392262151519,0,1,True
Bunia,2026-05-19,6.0,Bunia,0.0,,0.0,4,6.0,1.0,4336.1457340514,0,1,True
Goma,2026-05-19,1.0,Goma,0.0,,,1,0.0,1.0,8413.39578071933,0,0,True
Katwa,2026-05-19,1.0,Katwa,0.0,,,1,0.0,1.0,7809.37779884317,0,1,True
Katwa,2026-05-20,1.0,Katwa,0.0,,,2,0.0,2.0,7809.37779884317,0,1,True
Rwampara,2026-05-20,24.0,Rwampara,0.0,,0.0,5,12.0,1.0,378.392262151519,0,1,True
Bambu,2026-05-20,1.0,Bambu,0.0,,,0,0.0,0.0,293.755113499808,0,1,True
Butembo,2026-05-20,1.0,Butembo,0.0,,,2,0.0,2.0,3648.62216219997,0,1,True
Bunia,2026-05-20,11.0,Bunia,5.0,,0.0,5,11.0,2.0,4336.1457340514,0,1,True
Nyankunde,2026-05-20,5.0,Nyankunde,1.0,,0.0,2,1.0,2.0,100.872453475923,0,1,True
Mongbwalu,2026-05-20,13.0,Mongbwalu,0.0,,0.0,6,13.0,1.0,49.26880991961,0,1,True
Goma,2026-05-20,1.0,Goma,0.0,,,2,0.0,2.0,8413.39578071933,0,0,True
Goma,2026-05-21,1.0,Goma,0.0,,0.0,3,0.0,3.0,8413.39578071933,0,0,True
Butembo,2026-05-21,2.0,Butembo,1.0,,0.0,3,1.0,3.0,3648.62216219997,0,1,True
Bunia,2026-05-21,15.0,Bunia,4.0,,1.0,6,15.0,1.0,4336.1457340514,0,1,True
Katwa,2026-05-21,1.0,Katwa,0.0,,0.0,3,0.0,3.0,7809.37779884317,0,1,True
Bambu,2026-05-21,1.0,Bambu,0.0,,0.0,1,0.0,1.0,293.755113499808,0,1,True
Rwampara,2026-05-21,31.0,Rwampara,7.0,,1.0,6,19.0,2.0,378.392262151519,0,1,True
Kilo,2026-05-21,1.0,Kilo,0.0,,0.0,0,0.0,0.0,107.546199583958,0,1,True
Nizi,2026-05-21,1.0,Nizi,0.0,,0.0,0,0.0,0.0,671.566862038288,0,1,True
Nyankunde,2026-05-21,11.0,Nyankunde,6.0,,0.0,3,7.0,1.0,100.872453475923,0,1,True
Mongbwalu,2026-05-21,14.0,Mongbwalu,1.0,,0.0,7,14.0,2.0,49.26880991961,0,1,True
Miti Murhesa,2026-05-21,1.0,Miti Murhesa,0.0,,0.0,0,0.0,0.0,722.651452069188,0,1,True
